id,url,base_info,match_data,transfer_data,injured_data_list,capability_data
50129928,https://dongqiudi.com/player/50129928.html,"{'俱乐部': '比勒费尔德', '国   籍': '德国', '身   高': 'CM', '位   置': '教练', '年   龄': '49岁', '体   重': 'KG', '号   码': '号', '生   日': '1972-05-03', '惯用脚': '', '中文名': '弗兰克-克拉默', '英文名': 'F. Kramer'}",[],"[['2005-07-01', '菲尔特青年队', '退役'], ['2003-07-01', '富克特', '菲尔特青年队'], ['2002-07-01', '菲尔特青年队', '富克特'], ['2001-07-01', '纽伦堡B队', '菲尔特青年队'], ['1993-07-01', '梅明根', '拜仁慕尼黑二队']]",[],{}
50457057,https://dongqiudi.com/player/50457057.html,"{'俱乐部': '比勒费尔德', '国   籍': '德国', '身   高': '186CM', '位   置': '前锋', '年   龄': '22岁', '体   重': '81KG', '号   码': '18号', '生   日': '1999-02-13', '惯用脚': '右脚', '中文名': '克吕格尔', '英文名': 'F. Krüger'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '奥厄', '35', '34', '11', '6', '1', '0', '1'], ['2019/2020', '奥厄', '34', '21', '8', '8', '2', '0', '13'], ['2018/2019', '奥厄', '16', '9', '2', '4', '0', '0', '7']]","[['2021-07-01', '奥厄', '比勒费尔德'], ['2018-08-07', '沙尔克04U19', '奥厄'], ['2016-07-01', '沙尔克04U17', '沙尔克04U19'], ['2015-07-01', '马格德堡U17', '沙尔克04U17'], ['2014-07-01', '马格德堡青年队', '马格德堡U17']]",[],{}
50238890,https://dongqiudi.com/player/50238890.html,"{'俱乐部': '比勒费尔德', '国   籍': '法国', '身   高': '188CM', '位   置': '前锋', '年   龄': '22岁', '体   重': '76KG', '号   码': '10号', '生   日': '1998-11-14', '惯用脚': '左脚', '中文名': '拉斯梅', '英文名': 'B. Lasme'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '索肖', '33', '22', '9', '2', '4', '0', '7'], ['2019/2020', '索肖', '16', '6', '4', '0', '2', '0', '10'], ['2019/2020', '索肖B队', '1', '1', '1', '0', '0', '0', '0'], ['2018/2019', '卓莱泰斯', '17', '9', '0', '0', '0', '0', '8'], ['2018/2019', '索肖', '2', '2', '0', '0', '0', '0', '0'], ['2018/2019', '索肖B队', '1', '1', '2', '0', '0', '0', '0'], ['2017/2018', '索肖', '9', '1', '1', '0', '0', '0', '8'], ['2017/2018', '索肖B队', '15', '13', '1', '0', '1', '0', '2'], ['2016/2017', '索肖', '1', '0', '0', '0', '0', '0', '1'], ['2016/2017', '索肖B队', '19', '14', '2', '0', '3', '0', '5'], ['2015/2016', '索肖B队', '2', '0', '0', '0', '0', '0', '2'], ['2014/2015', '索肖B队', '1', '0', '0', '0', '0', '0', '1']]","[['2021-07-01', '索肖', '比勒费尔德']]",[],"{'综合能力': '61', '速度': '75', '力量': '68', '防守': '24', '盘带': '58', '传球': '46', '射门': '61'}"
50236262,https://dongqiudi.com/player/50236262.html,"{'俱乐部': '比勒费尔德', '国   籍': '德国', '身   高': '193CM', '位   置': '前锋', '年   龄': '23岁', '体   重': '87KG', '号   码': '号', '生   日': '1998-03-13', '惯用脚': '左脚', '中文名': '塞拉', '英文名': 'J. Serra'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '荷尔斯泰因基尔', '37', '30', '16', '3', '3', '0', '5'], ['2019/2020', '荷尔斯泰因基尔', '21', '18', '8', '3', '0', '0', '3'], ['2018/2019', '荷尔斯泰因基尔', '33', '28', '11', '2', '2', '0', '5'], ['2017/2018', '波鸿', '12', '0', '0', '0', '0', '0', '12'], ['2017/2018', '多特蒙德二队', '13', '11', '3', '0', '1', '0', '2'], ['2016/2017', '多特蒙德U19', '5', '0', '0', '0', '0', '0', '5'], ['2015/2016', '多特蒙德U19', '28', '28', '19', '0', '1', '0', '0']]","[['2021-07-01', '荷尔斯泰因基尔', '比勒费尔德'], ['2018-07-01', '多特蒙德', '荷尔斯泰因基尔'], ['2018-01-26', '多特蒙德', '波鸿']]",[],{}
50218309,https://dongqiudi.com/player/50218309.html,"{'俱乐部': '比勒费尔德', '国   籍': '奥地利', '身   高': '187CM', '位   置': '前锋', '年   龄': '27岁', '体   重': '74KG', '号   码': '7号', '生   日': '1993-12-20', '惯用脚': '右脚', '中文名': '格博尔', '英文名': 'C. Gebauer'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '比勒费尔德', '23', '5', '1', '1', '0', '0', '9'], ['2019/2020', '阿尔特阿赫', '33', '28', '5', '5', '1', '0', '5'], ['2018/2019', '阿尔特阿赫', '34', '31', '4', '5', '1', '0', '3'], ['2017/2018', '阿尔特阿赫', '47', '42', '6', '2', '2', '0', '5'], ['2016/2017', '瓦滕斯', '39', '36', '10', '3', '1', '0', '3'], ['2015/2016', '瓦滕斯', '30', '25', '2', '0', '5', '1', '5'], ['2014/2015', '瓦滕斯', '31', '30', '7', '0', '2', '0', '1']]",[],[],"{'综合能力': '67', '速度': '92', '力量': '65', '防守': '48', '盘带': '66', '传球': '59', '射门': '63'}"
50061828,https://dongqiudi.com/player/50061828.html,"{'俱乐部': '比勒费尔德', '国   籍': '德国', '身   高': '194CM', '位   置': '前锋', '年   龄': '33岁', '体   重': '93KG', '号   码': '9号', '生   日': '1987-12-02', '惯用脚': '右脚', '中文名': '克洛斯', '英文名': 'F. Klos'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '比勒费尔德', '35', '33', '5', '2', '4', '0', '0'], ['2019/2020', '比勒费尔德', '35', '34', '22', '7', '5', '1', '1'], ['2018/2019', '比勒费尔德', '35', '34', '17', '7', '4', '0', '1'], ['2017/2018', '比勒费尔德', '34', '27', '8', '7', '4', '0', '7'], ['2016/2017', '比勒费尔德', '37', '29', '15', '0', '9', '0', '8'], ['2015/2016', '比勒费尔德', '33', '31', '12', '5', '7', '0', '2'], ['2014/2015', '比勒费尔德', '40', '40', '24', '1', '8', '1', '0'], ['2013/2014', '比勒费尔德', '33', '30', '9', '0', '10', '0', '3'], ['2012/2013', '比勒费尔德', '35', '35', '20', '0', '11', '1', '0'], ['2011/2012', '比勒费尔德', '34', '24', '10', '0', '7', '1', '10'], ['2010/2011', '沃尔夫斯堡二队', '33', '31', '13', '0', '5', '0', '2'], ['2009/2010', '沃尔夫斯堡二队', '31', '26', '9', '0', '4', '0', '5']]","[['2011-07-01', '沃尔夫斯堡二队', '比勒费尔德'], ['2009-07-01', '吉夫霍恩', '沃尔夫斯堡二队'], ['2007-07-01', 'SV迈讷森', '吉夫霍恩'], ['2005-07-01', 'SV迈讷森U19', 'SV迈讷森']]","[['比勒费尔德', '脚受伤', '2020-09-20 ~ 2020-09-25']]","{'综合能力': '74', '速度': '63', '力量': '81', '防守': '40', '盘带': '63', '传球': '62', '射门': '74'}"
50226624,https://dongqiudi.com/player/50226624.html,"{'俱乐部': '比勒费尔德', '国   籍': '德国', '身   高': '190CM', '位   置': '中场', '年   龄': '23岁', '体   重': '76KG', '号   码': '16号', '生   日': '1998-06-14', '惯用脚': '右脚', '中文名': '孔策', '英文名': 'F. Kunze'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '比勒费尔德', '26', '12', '0', '0', '6', '0', '7'], ['2019/2020', '比勒费尔德', '16', '4', '0', '2', '1', '0', '12'], ['2018/2019', '罗迪豪森', '30', '30', '1', '0', '7', '1', '0'], ['2017/2018', '罗迪豪森', '30', '30', '2', '0', '7', '0', '0']]","[['2019-07-01', '罗迪豪森', '比勒费尔德']]",[],"{'综合能力': '69', '速度': '61', '力量': '72', '防守': '71', '盘带': '57', '传球': '55', '射门': '38'}"
50197257,https://dongqiudi.com/player/50197257.html,"{'俱乐部': '比勒费尔德', '国   籍': '德国', '身   高': '177CM', '位   置': '中场', '年   龄': '25岁', '体   重': '68KG', '号   码': '30号', '生   日': '1996-01-19', '惯用脚': '右脚', '中文名': '马塞尔-哈特尔', '英文名': 'M. Hartel'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '比勒费尔德', '23', '21', '0', '0', '1', '0', '0'], ['2019/2020', '比勒费尔德', '35', '34', '1', '11', '1', '0', '1'], ['2018/2019', '柏林联合', '30', '20', '2', '2', '1', '0', '10'], ['2017/2018', '柏林联合', '30', '18', '2', '2', '3', '0', '12'], ['2016/2017', '科隆', '2', '0', '0', '0', '0', '0', '2'], ['2015/2016', '科隆', '6', '0', '0', '0', '0', '0', '6'], ['2014/2015', '科隆青年队', '7', '4', '0', '0', '0', '0', '3'], ['2014/2015', '科隆U19', '24', '24', '15', '0', '5', '1', '0'], ['2013/2014', '科隆U19', '20', '16', '4', '0', '1', '0', '4']]","[['2019-07-27', '柏林联合', '比勒费尔德'], ['2017-07-01', '科隆', '柏林联合'], ['2016-07-01', '科隆青年队', '科隆'], ['2015-07-01', '科隆U19', '科隆青年队'], ['2013-07-01', '科隆U17', '科隆U19'], ['2012-07-01', '科隆青年队', '科隆U17']]","[['比勒费尔德', '脚踝/脚受伤', '2020-12-10 ~ 2020-12-11']]","{'综合能力': '70', '速度': '68', '力量': '61', '防守': '36', '盘带': '77', '传球': '68', '射门': '63'}"
50092808,https://dongqiudi.com/player/50092808.html,"{'俱乐部': '比勒费尔德', '国   籍': '奥地利', '身   高': '187CM', '位   置': '中场', '年   龄': '29岁', '体   重': '79KG', '号   码': '19号', '生   日': '1991-08-03', '惯用脚': '右脚', '中文名': '普雷特尔', '英文名': 'M. Prietl'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '比勒费尔德', '29', '29', '1', '1', '4', '0', '0'], ['2019/2020', '比勒费尔德', '33', '33', '4', '1', '10', '0', '0'], ['2018/2019', '比勒费尔德', '34', '34', '0', '2', '5', '0', '0'], ['2017/2018', '比勒费尔德', '33', '33', '0', '3', '5', '0', '0'], ['2016/2017', '比勒费尔德', '26', '21', '1', '0', '6', '0', '5'], ['2015/2016', '马特斯堡', '36', '34', '2', '0', '3', '1', '2'], ['2014/2015', '马特斯堡', '29', '12', '1', '2', '4', '0', '17'], ['2014/2015', '马特斯堡B队', '3', '3', '0', '0', '0', '0', '0'], ['2013/2014', '马特斯堡', '20', '19', '0', '0', '6', '0', '1'], ['2012/2013', '马特斯堡', '35', '32', '0', '0', '7', '1', '3'], ['2011/2012', '哈特贝格', '38', '37', '1', '0', '13', '2', '1'], ['2010/2011', '格雷史达顿', '31', '31', '1', '0', '5', '0', '0']]","[['2016-07-01', '马特斯堡', '比勒费尔德'], ['2012-07-01', '哈特贝格', '马特斯堡'], ['2011-07-01', '格雷史达顿', '哈特贝格']]","[['比勒费尔德', '撞伤', '2021-01-10 ~ 2021-01-29']]","{'综合能力': '73', '速度': '59', '力量': '79', '防守': '71', '盘带': '66', '传球': '62', '射门': '51'}"
50253186,https://dongqiudi.com/player/50253186.html,"{'俱乐部': '比勒费尔德', '国   籍': '希腊', '身   高': '177CM', '位   置': '中场', '年   龄': '23岁', '体   重': '75KG', '号   码': '号', '生   日': '1997-10-04', '惯用脚': '右脚', '中文名': '瓦西利亚迪斯', '英文名': 'S. Vasiliadis'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '帕德博恩', '20', '13', '0', '2', '4', '0', '3'], ['2019/2020', '帕德博恩', '33', '33', '1', '1', '11', '0', '0'], ['2018/2019', '帕德博恩', '31', '26', '6', '12', '5', '0', '5'], ['2017/2018', '亚伦', '24', '21', '5', '2', '7', '0', '3'], ['2016/2017', '亚伦', '28', '13', '2', '0', '5', '0', '15'], ['2015/2016', '亚伦', '8', '7', '0', '0', '2', '0', '1']]","[['2021-07-01', '帕德博恩', '比勒费尔德'], ['2018-07-01', '亚伦', '帕德博恩'], ['2016-07-01', '艾阿倫U19', '亚伦']]","[['帕德博恩', '腹股沟/骨盆受伤', '2019-12-20 ~ 2020-01-11'], ['帕德博恩', '脚趾受伤', '2019-10-31 ~ 2019-10-31']]","{'综合能力': '72', '速度': '72', '力量': '72', '防守': '65', '盘带': '75', '传球': '68', '射门': '61'}"
