id,url,base_info,match_data,transfer_data,injured_data_list,capability_data
50247493,https://dongqiudi.com/player/50247493.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '法国', '身   高': 'CM', '位   置': '教练', '年   龄': '40岁', '体   重': 'KG', '号   码': '号', '生   日': '1980-09-18', '惯用脚': '', '中文名': '斯特凡', '英文名': 'J. Stéphan'}",[],"[['2007-07-01', '德劳伊斯', '退役'], ['2005-07-01', '布里欧齐', '德劳伊斯'], ['2003-07-01', '巴黎竞赛', '布里欧齐'], ['2002-07-01', '图卢兹B队', '巴黎竞赛'], ['2001-07-01', '巴黎圣日耳曼B队', '图卢兹B队'], ['1998-07-01', '波尔多B队', '巴黎圣日耳曼B队']]",[],{}
50081009,https://dongqiudi.com/player/50081009.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '加纳', '身   高': '172CM', '位   置': '前锋', '年   龄': '29岁', '体   重': '73KG', '号   码': '8号', '生   日': '1991-09-19', '惯用脚': '右脚', '中文名': '瓦里斯', '英文名': 'A. Waris'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '16', '6', '1', '0', '0', '0', '9'], ['2019/2020', '斯特拉斯堡', '8', '5', '2', '1', '1', '0', '3'], ['2018/2019', '南特', '38', '28', '7', '3', '7', '0', '10'], ['2017/2018', '洛里昂', '8', '5', '2', '1', '0', '0', '3'], ['2017/2018', '波尔图', '8', '2', '0', '0', '2', '0', '6'], ['2016/2017', '洛里昂', '38', '33', '10', '5', '5', '0', '5'], ['2015/2016', '洛里昂', '25', '24', '12', '3', '1', '1', '1'], ['2015/2016', '洛里昂B队', '1', '1', '0', '0', '0', '0', '0'], ['2015/2016', '特拉布宗体育', '3', '3', '0', '0', '0', '0', '0'], ['2014/2015', '特拉布宗体育', '26', '17', '4', '0', '3', '0', '9'], ['2014/2015', '莫斯科斯巴达', '4', '1', '0', '0', '0', '0', '3'], ['2013/2014', '瓦朗谢讷', '16', '16', '9', '3', '2', '0', '0'], ['2013/2014', '莫斯科斯巴达', '5', '1', '1', '0', '0', '0', '4'], ['2012', '赫根', '29', '29', '23', '0', '4', '0', '0'], ['2012/2013', '莫斯科斯巴达', '7', '2', '0', '0', '1', '0', '5'], ['2011', '赫根', '16', '3', '3', '0', '0', '0', '13'], ['2011/2012', '赫根', '5', '2', '1', '0', '0', '0', '3'], ['2010', '赫根', '10', '1', '0', '0', '0', '0', '9']]","[['2020-07-01', '波尔图B队', '斯特拉斯堡'], ['2020-06-30', '斯特拉斯堡', '波尔图B队'], ['2020-01-16', '波尔图B队', '斯特拉斯堡'], ['2019-09-01', '波尔图', '波尔图B队'], ['2019-06-30', '南特', '波尔图'], ['2018-08-07', '波尔图', '南特'], ['2018-07-01', '洛里昂', '波尔图'], ['2018-06-30', '波尔图', '洛里昂'], ['2018-01-19', '洛里昂', '波尔图'], ['2015-08-06', '特拉布宗体育', '洛里昂'], ['2014-09-01', '莫斯科斯巴达', '特拉布宗体育'], ['2014-06-30', '瓦朗谢讷', '莫斯科斯巴达'], ['2014-01-02', '莫斯科斯巴达', '瓦朗谢讷'], ['2013-01-01', '赫根', '莫斯科斯巴达']]","[['斯特拉斯堡', '脑震荡', '2020-12-21 ~ 2021-01-05'], ['斯特拉斯堡', '大腿肌肉拉伤', '2020-09-28 ~ 2020-10-15'], ['南特', '脑震荡', '2019-05-06 ~ 2019-05-15'], ['南特', '大腿肌肉拉伤', '2019-02-25 ~ 2019-03-25'], ['洛里昂', '腹股沟/骨盆受伤', '2016-12-15 ~ 2016-12-20'], ['洛里昂', '臀部/大腿受伤', '2016-09-20 ~ 2016-09-23'], ['洛里昂B队', '肋骨受伤', '2016-04-20 ~ 2016-08-12'], ['洛里昂', '臀部/大腿受伤', '2016-01-11 ~ 2016-01-25'], ['洛里昂', '大腿肌肉拉伤', '2015-10-15 ~ 2015-10-22'], ['洛里昂', '手部受伤', '2015-08-21 ~ 2015-09-10'], ['瓦朗谢讷', '大腿肌肉拉伤', '2014-06-11 ~ 2014-06-20'], ['瓦朗谢讷', '小腿肌肉拉伤', '2014-04-19 ~ 2014-04-25'], ['瓦朗谢讷', '大腿肌肉拉伤', '2014-03-28 ~ 2014-04-05']]","{'综合能力': '72', '速度': '89', '力量': '64', '防守': '37', '盘带': '74', '传球': '66', '射门': '70'}"
50231905,https://dongqiudi.com/player/50231905.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '南非', '身   高': '182CM', '位   置': '前锋', '年   龄': '25岁', '体   重': '78KG', '号   码': '12号', '生   日': '1996-01-28', '惯用脚': '右脚', '中文名': '莫蒂巴', '英文名': 'L. Mothiba'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2019/2020', '斯特拉斯堡', '23', '12', '3', '3', '0', '0', '11'], ['2018/2019', '斯特拉斯堡', '36', '21', '11', '2', '3', '0', '15'], ['2018/2019', '里尔', '3', '3', '1', '0', '0', '0', '0'], ['2017/2018', '瓦朗谢讷', '24', '20', '9', '2', '2', '0', '4'], ['2017/2018', '里尔', '14', '14', '5', '0', '2', '0', '0'], ['2016/2017', '瓦朗谢讷', '9', '7', '2', '0', '0', '0', '2'], ['2016/2017', '里尔', '1', '0', '0', '0', '0', '0', '1'], ['2016/2017', '里尔B队', '10', '10', '5', '0', '1', '0', '0'], ['2015/2016', '里尔B队', '13', '4', '3', '0', '0', '0', '9'], ['2014/2015', '里尔B队', '9', '1', '0', '0', '0', '0', '8']]","[['2018-08-30', '里尔', '斯特拉斯堡'], ['2018-02-01', '里尔B队', '里尔'], ['2018-01-31', '瓦朗谢讷', '里尔B队'], ['2017-01-31', '里尔B队', '瓦朗谢讷'], ['2015-07-01', '里尔U19', '里尔B队']]","[['斯特拉斯堡', '膝盖受伤', '2020-08-01 ~ '], ['斯特拉斯堡', '臀部/大腿受伤', '2020-01-03 ~ 2020-02-03'], ['斯特拉斯堡', '膝盖受伤', '2019-01-04 ~ 2019-01-18'], ['里尔', '撞伤', '2017-01-20 ~ 2017-02-03']]",{}
50209250,https://dongqiudi.com/player/50209250.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '塞内加尔', '身   高': '185CM', '位   置': '前锋', '年   龄': '26岁', '体   重': '75KG', '号   码': '28号', '生   日': '1995-06-15', '惯用脚': '右脚', '中文名': '哈比卜-迪亚洛', '英文名': 'H. Diallo'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '32', '27', '9', '3', '2', '0', '3'], ['2020/2021', '梅斯', '4', '1', '0', '0', '0', '0', '3'], ['2019/2020', '梅斯', '27', '27', '12', '3', '2', '1', '0'], ['2018/2019', '梅斯', '43', '31', '26', '6', '6', '0', '12'], ['2017/2018', '布雷斯特', '36', '26', '11', '5', '1', '0', '10'], ['2017/2018', '梅斯', '1', '0', '0', '0', '0', '0', '1'], ['2016/2017', '布雷斯特', '16', '13', '7', '2', '0', '0', '3'], ['2016/2017', '梅斯', '23', '9', '1', '1', '1', '0', '14'], ['2016/2017', '梅斯B队', '1', '1', '1', '0', '0', '0', '0'], ['2015/2016', '梅斯', '18', '11', '9', '0', '0', '0', '7'], ['2015/2016', '梅斯B队', '5', '5', '2', '0', '0', '0', '0'], ['2014/2015', '梅斯B队', '18', '9', '1', '0', '0', '0', '9'], ['2013/2014', '梅斯B队', '5', '1', '0', '0', '0', '0', '4']]","[['2020-10-05', '梅斯', '斯特拉斯堡'], ['2018-06-30', '布雷斯特', '梅斯'], ['2017-08-25', '梅斯', '布雷斯特'], ['2017-06-30', '布雷斯特', '梅斯'], ['2017-01-31', '梅斯', '布雷斯特'], ['2015-07-01', '梅斯B队', '梅斯'], ['2013-08-01', '吉尼莱迅', '梅斯B队']]",[],"{'综合能力': '76', '速度': '71', '力量': '70', '防守': '23', '盘带': '71', '传球': '52', '射门': '75'}"
50204772,https://dongqiudi.com/player/50204772.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '法国', '身   高': '180CM', '位   置': '前锋', '年   龄': '24岁', '体   重': '76KG', '号   码': '21号', '生   日': '1996-07-25', '惯用脚': '右脚', '中文名': '查西里', '英文名': 'M. Chahiri'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '22', '7', '1', '0', '0', '0', '10'], ['2019/2020', '红星', '25', '22', '14', '0', '2', '0', '3'], ['2018/2019', 'Dunkerque II', '10', '10', '2', '0', '2', '0', '0'], ['2018/2019', '敦刻尔克', '27', '17', '2', '0', '1', '0', '10'], ['2017/2018', 'Dunkerque II', '18', '16', '2', '0', '1', '0', '2'], ['2017/2018', '敦刻尔克', '4', '2', '0', '0', '1', '0', '2'], ['2016/2017', '敦刻尔克', '2', '1', '0', '0', '0', '0', '1'], ['2014/2015', '洛里昂B队', '13', '6', '0', '0', '0', '0', '7'], ['2013/2014', '格兰德辛特', '14', '5', '1', '0', '0', '0', '9']]","[['2020-06-30', '红星', '斯特拉斯堡'], ['2020-01-31', '斯特拉斯堡', '红星'], ['2020-01-30', '红星', '斯特拉斯堡'], ['2019-07-01', '敦刻尔克', '红星']]",[],{}
50170188,https://dongqiudi.com/player/50170188.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '法国', '身   高': '197CM', '位   置': '前锋', '年   龄': '27岁', '体   重': '92KG', '号   码': '25号', '生   日': '1994-02-25', '惯用脚': '左脚', '中文名': '阿若克', '英文名': 'L. Ajorque'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '36', '35', '16', '4', '5', '0', '1'], ['2019/2020', '斯特拉斯堡', '35', '30', '11', '4', '3', '0', '5'], ['2018/2019', '斯特拉斯堡', '29', '22', '11', '2', '5', '0', '7'], ['2017/2018', '克莱蒙', '40', '37', '14', '3', '8', '0', '3'], ['2016/2017', '克莱蒙', '30', '21', '6', '4', '3', '0', '9'], ['2016/2017', '克莱蒙特B队', '2', '2', '1', '0', '0', '0', '0'], ['2015/2016', 'Luçon', '32', '24', '9', '0', '6', '0', '8'], ['2014/2015', '昂热', '1', '1', '0', '0', '0', '0', '0'], ['2014/2015', '昂热二队', '8', '7', '3', '0', '2', '0', '1'], ['2014/2015', '维耶河畔莱普瓦勒', '16', '10', '2', '0', '1', '0', '6'], ['2014/2015', 'Le Poiré-sur-Vie II', '1', '1', '0', '0', '0', '0', '0'], ['2013/2014', '昂热二队', '22', '21', '10', '0', '3', '0', '1'], ['2012/2013', '昂热二队', '7', '6', '1', '0', '3', '0', '1']]","[['2018-07-01', '克莱蒙', '斯特拉斯堡'], ['2016-07-26', '昂热', '克莱蒙'], ['2016-06-30', 'Luçon', '昂热'], ['2015-07-05', '昂热', 'Luçon'], ['2015-06-30', 'Le Poiré-sur-Vie II', '昂热'], ['2014-11-10', '昂热', 'Le Poiré-sur-Vie II'], ['2014-07-01', '昂热二队', '昂热']]","[['斯特拉斯堡', '大腿肌肉拉伤', '2018-09-21 ~ 2018-11-22'], ['斯特拉斯堡', '肩膀受伤', '2018-08-13 ~ 2018-08-20']]","{'综合能力': '76', '速度': '63', '力量': '79', '防守': '26', '盘带': '68', '传球': '58', '射门': '76'}"
50094367,https://dongqiudi.com/player/50094367.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '阿尔及利亚', '身   高': '185CM', '位   置': '前锋', '年   龄': '29岁', '体   重': '85KG', '号   码': '9号', '生   日': '1992-02-08', '惯用脚': '右脚', '中文名': '萨阿迪', '英文名': 'I. Saadi'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '8', '0', '0', '0', '0', '0', '7'], ['2019/2020', '色格拉布鲁日', '17', '10', '3', '0', '1', '0', '7'], ['2018/2019', '斯特拉斯堡', '1', '0', '0', '0', '0', '0', '1'], ['2018/2019', '斯特拉斯堡B队', '2', '2', '1', '0', '1', '0', '0'], ['2017/2018', '斯特拉斯堡', '29', '13', '5', '0', '1', '0', '16'], ['2016/2017', '科特赖克', '39', '32', '16', '2', '2', '0', '7'], ['2015/2016', '克莱蒙', '1', '1', '1', '0', '0', '0', '0'], ['2015/2016', '克莱蒙特B队', '1', '1', '0', '0', '0', '0', '0'], ['2015/2016', '卡迪夫城', '2', '0', '0', '0', '0', '0', '2'], ['2014/2015', '克莱蒙', '24', '23', '12', '0', '0', '0', '1'], ['2013/2014', '克莱蒙', '18', '18', '7', '0', '0', '0', '0'], ['2013/2014', '圣埃蒂安', '2', '1', '0', '0', '0', '0', '1'], ['2013/2014', '圣埃蒂安B队', '3', '3', '0', '0', '1', '0', '0'], ['2012/2013', '阿雅克肖加泽莱克', '32', '27', '7', '0', '0', '0', '5'], ['2012/2013', '圣埃蒂安', '1', '0', '0', '0', '0', '0', '1'], ['2012/2013', '圣埃蒂安B队', '1', '1', '1', '0', '0', '0', '0'], ['2011/2012', '兰斯', '10', '2', '1', '0', '0', '0', '8'], ['2011/2012', '圣埃蒂安', '9', '4', '0', '0', '1', '0', '5'], ['2011/2012', '圣埃蒂安B队', '7', '7', '6', '0', '0', '0', '0'], ['2010/2011', '圣埃蒂安', '13', '0', '0', '0', '0', '0', '13'], ['2010/2011', '圣埃蒂安B队', '18', '18', '13', '0', '0', '0', '0']]","[['2021-07-06', '斯特拉斯堡', '巴斯蒂亚'], ['2020-06-30', '色格拉布鲁日', '斯特拉斯堡'], ['2019-07-05', '斯特拉斯堡', '色格拉布鲁日'], ['2017-07-21', '卡迪夫城', '斯特拉斯堡'], ['2017-06-30', '科特赖克', '卡迪夫城'], ['2016-07-01', '卡迪夫城', '科特赖克'], ['2015-08-31', '克莱蒙', '卡迪夫城'], ['2014-01-17', '圣埃蒂安', '克莱蒙'], ['2013-06-30', '阿雅克肖加泽莱克', '圣埃蒂安'], ['2012-08-30', '圣埃蒂安', '阿雅克肖加泽莱克'], ['2012-06-30', '兰斯', '圣埃蒂安'], ['2012-01-10', '圣埃蒂安', '兰斯'], ['2011-07-01', '圣埃蒂安B队', '圣埃蒂安'], ['2009-07-01', '圣埃蒂安U19', '圣埃蒂安B队']]","[['斯特拉斯堡', '腹股沟拉伤', '2020-10-06 ~ 2021-01-15'], ['斯特拉斯堡B队', '膝盖受伤', '2018-10-13 ~ 2019-05-31'], ['斯特拉斯堡B队', '伤病', '2018-08-10 ~ 2018-08-20'], ['斯特拉斯堡', '小腿肌肉拉伤', '2017-10-01 ~ 2017-11-03'], ['圣埃蒂安B队', '腹股沟拉伤', '2013-11-09 ~ 2013-12-25']]","{'综合能力': '65', '速度': '60', '力量': '73', '防守': '22', '盘带': '61', '传球': '52', '射门': '67'}"
50411340,https://dongqiudi.com/player/50411340.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '马里', '身   高': '177CM', '位   置': '前锋', '年   龄': '24岁', '体   重': '70KG', '号   码': '20号', '生   日': '1996-12-19', '惯用脚': '右脚', '中文名': '佐希', '英文名': 'K. Zohi'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '23', '2', '2', '0', '0', '0', '17'], ['2019/2020', '斯特拉斯堡', '26', '11', '4', '2', '1', '0', '15'], ['2019/2020', '斯特拉斯堡B队', '1', '1', '2', '0', '0', '0', '0'], ['2018/2019', '斯特拉斯堡', '26', '9', '2', '1', '0', '0', '17'], ['2018/2019', '斯特拉斯堡B队', '5', '5', '1', '0', '0', '0', '0'], ['2017/2018', '斯特拉斯堡', '1', '0', '0', '0', '0', '0', '1']]","[['2021-07-01', '斯特拉斯堡', '自由球员'], ['2018-07-01', '斯特拉斯堡B队', '斯特拉斯堡']]","[['斯特拉斯堡', '膝盖受伤', '2021-02-08 ~ 2021-02-19'], ['斯特拉斯堡', '撞伤', '2019-09-12 ~ 2019-10-18'], ['斯特拉斯堡', '腹股沟拉伤', '2019-04-04 ~ 2019-05-01'], ['斯特拉斯堡', '脚踝/脚受伤', '2018-12-08 ~ 2018-12-12'], ['斯特拉斯堡', '撞伤', '2018-04-20 ~ 2018-05-15'], ['斯特拉斯堡', '大腿肌肉拉伤', '2017-10-23 ~ 2018-01-15']]",{}
50103065,https://dongqiudi.com/player/50103065.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '波黑', '身   高': '181CM', '位   置': '中场', '年   龄': '27岁', '体   重': '73KG', '号   码': '14号', '生   日': '1993-11-20', '惯用脚': '左脚', '中文名': '普尔西奇', '英文名': 'S. Prcić'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '斯特拉斯堡', '15', '4', '0', '1', '1', '0', '8'], ['2019/2020', '斯特拉斯堡', '4', '1', '0', '0', '0', '0', '3'], ['2019/2020', '斯特拉斯堡B队', '6', '6', '0', '0', '1', '0', '0'], ['2018/2019', '斯特拉斯堡', '15', '13', '2', '1', '1', '0', '2'], ['2018/2019', '莱万特', '14', '10', '0', '0', '5', '0', '4'], ['2017/2018', '雷恩', '20', '19', '2', '2', '4', '0', '1'], ['2016/2017', '雷恩', '28', '25', '1', '0', '5', '1', '3'], ['2015/2016', '都灵', '3', '0', '0', '0', '0', '0', '3'], ['2015/2016', '佩鲁贾', '13', '11', '3', '0', '1', '1', '2'], ['2014/2015', '雷恩', '20', '9', '1', '1', '3', '0', '11'], ['2014/2015', '雷恩B队', '3', '3', '1', '0', '0', '0', '0'], ['2013/2014', '索肖', '32', '22', '2', '0', '6', '0', '10'], ['2013/2014', '索肖B队', '1', '1', '0', '0', '1', '1', '0'], ['2012/2013', '索肖B队', '17', '15', '2', '0', '4', '0', '2'], ['2011/2012', '索肖B队', '24', '21', '3', '0', '2', '0', '3'], ['2010/2011', '索肖B队', '14', '9', '1', '0', '1', '0', '5']]","[['2019-09-02', '莱万特', '斯特拉斯堡'], ['2019-06-30', '斯特拉斯堡', '莱万特'], ['2019-01-28', '莱万特', '斯特拉斯堡'], ['2018-08-01', '雷恩', '莱万特'], ['2016-06-30', '都灵', '雷恩'], ['2016-06-29', '佩鲁贾', '都灵'], ['2016-01-31', '都灵', '佩鲁贾'], ['2015-08-31', '雷恩', '都灵'], ['2014-07-30', '索肖', '雷恩'], ['2012-07-01', '索肖B队', '索肖'], ['2010-07-01', '索肖U19', '索肖B队']]","[['斯特拉斯堡', '脚踝韧带', '2021-02-11 ~ 2021-02-19'], ['斯特拉斯堡', '背部受伤', '2020-01-03 ~ 2020-02-14'], ['斯特拉斯堡', '背部受伤', '2019-10-24 ~ 2019-11-30'], ['斯特拉斯堡', '脚踝/脚受伤', '2019-04-22 ~ 2019-05-01'], ['雷恩', '脚踝/脚受伤', '2017-10-23 ~ 2018-01-22'], ['雷恩', '脚踝/脚受伤', '2017-09-27 ~ 2017-10-20'], ['雷恩', '臀部/大腿受伤', '2017-07-21 ~ 2017-08-25'], ['雷恩', '撞伤', '2016-12-08 ~ 2016-12-31'], ['雷恩', '内侧副韧带受伤', '2016-11-04 ~ 2016-11-22'], ['雷恩', '伤病', '2014-11-28 ~ 2014-12-05'], ['索肖', '膝盖受伤', '2012-09-21 ~ 2013-03-20']]","{'综合能力': '69', '速度': '58', '力量': '66', '防守': '67', '盘带': '68', '传球': '71', '射门': '59'}"
50262106,https://dongqiudi.com/player/50262106.html,"{'俱乐部': '斯特拉斯堡', '国   籍': '突尼斯', '身   高': '183CM', '位   置': '中场', '年   龄': '21岁', '体   重': '73KG', '号   码': '号', '生   日': '1999-08-07', '惯用脚': '左脚', '中文名': '泽姆泽米', '英文名': 'M. Zemzemi'}","[['赛季', '俱乐部', '上场', '首发', '进球', '助攻', '黄牌', '红牌', '替补'], ['2020/2021', '阿弗朗什', '17', '12', '2', '0', '1', '0', '0'], ['2019/2020', '斯特拉斯堡', '1', '0', '0', '0', '0', '0', '1'], ['2019/2020', '斯特拉斯堡B队', '3', '3', '2', '0', '1', '0', '0'], ['2019/2020', '非洲之鹰', '3', '1', '0', '0', '0', '0', '2'], ['2018/2019', '斯特拉斯堡', '4', '2', '0', '0', '0', '0', '2'], ['2018/2019', '斯特拉斯堡B队', '12', '12', '3', '0', '0', '0', '0'], ['2017/2018', '非洲之鹰', '10', '6', '1', '0', '0', '0', '4'], ['2016/2017', '非洲之鹰', '7', '3', '3', '0', '1', '0', '4'], ['2015/2016', '非洲之鹰', '4', '1', '1', '0', '1', '0', '3']]","[['2021-06-30', '阿弗朗什', '斯特拉斯堡'], ['2020-08-14', '斯特拉斯堡', '阿弗朗什'], ['2020-06-30', '非洲之鹰', '斯特拉斯堡'], ['2020-01-13', '斯特拉斯堡', '非洲之鹰'], ['2018-01-31', '非洲之鹰', '斯特拉斯堡']]","[['斯特拉斯堡', '大腿肌肉拉伤', '2019-11-08 ~ 2019-12-20'], ['斯特拉斯堡', '肩膀受伤', '2019-05-15 ~ 2019-05-31'], ['斯特拉斯堡', '腹股沟拉伤', '2019-03-08 ~ 2019-03-20'], ['斯特拉斯堡', '撞伤', '2018-10-13 ~ 2018-10-23'], ['斯特拉斯堡B队', '头部受伤', '2018-04-20 ~ 2018-05-04']]","{'综合能力': '62', '速度': '75', '力量': '47', '防守': '35', '盘带': '70', '传球': '57', '射门': '48'}"
