id,name,english_name,news_titles
50168190,埃斯克里瓦,Fran Escribá,"'谁更强？下赛季20支球队确定，西甲官方晒出20位主帅的海报', '噩梦终止，豪尔赫-萨恩斯租约到期离开塞尔塔', '本土教练中流砥柱，下赛季西甲将有4队主帅出自瓦伦西亚大区', '替补席如走秀场，下赛季西甲近一半球队更换主教练', '官方：埃尔切与主教练埃斯克里瓦续约至2022年', '埃斯克里瓦：英明的裁判也会犯错；眼见有时为实，有时也未必', '博尔达拉斯：朝于纳尔发火是因他不听命令，把点球让给了队友', '埃尔切主帅：巴萨是最好的球队之一，怀疑他们是不尊重的行为', '官方：埃斯克里瓦重回埃尔切执教', '每体：西班牙人的理想新帅是博尔达拉斯，候选包括马塞利诺', '记者：小克鲁伊夫进入塞尔塔的新帅候选名单', '官方：塞尔塔解雇球队主帅埃斯克里瓦', '塞尔电台：索拉里是塞尔塔新帅的热门入选', '西媒：塞尔塔主帅埃斯克里瓦仅剩一场比赛挽救帅位', '西媒：替埃斯克里瓦，塞尔塔可能聘请格拉西亚', '塞尔塔主帅：我相信我可以扭转局面，若球队不信任我，我辞职', '马卡报：战绩不佳，塞尔塔主帅埃斯克里瓦接近离任', '想念鲁比第48天，与上赛季同期相比，西班牙人在7...', '西甲主帅下课赔率：加耶戈第三，西蒙尼、巴尔韦德最安全', '塞尔塔主帅：击败巴萨将是最好的生日礼物，希望梅西留在家里', '互联网足球产业联盟合作伙伴'"
50042634,皮亚蒂,P. Piatti,"'官方：埃尔切免签西班牙人旧将皮亚蒂', '阿斯报：在谈判，埃尔切可能免签皮亚蒂', '懂球帝一周十佳球：科曼一锤定音弑旧主，格纳布里内切一条龙', '迭戈-洛佩斯告别皮亚蒂：好兄弟，足球会让我们永远相连', '官方：皮亚蒂从西班牙人自由转会至多伦多FC', '西班牙人官宣：与皮亚蒂就解约一事达成一致', '马卡：西班牙人前锋皮亚蒂已获准离开，他将与其他球队谈判', '每日体育报：皮亚蒂正在考虑离开西班牙人', '西班牙人0-1中央陆军遭小组赛首败，武磊替补登场失良机', '阿斯：武磊合同明年年底到期，是否续约取决于球队主席陈雁升', '【伤情报告】皮亚蒂左腿股直肌受伤，将伤缺约6周。...', '西班牙人官方：皮亚蒂、卡莱里和普阿多因伤无缘欧联杯', '【伤情报告】梅伦多在球队与比利亚雷亚尔赛前最后一...', '武磊：西班牙人是一个大家庭，更衣室里有很多开心果', '在昨天踩场训练中，皮亚蒂小分队在抢圈环节获胜，他...', '武磊：欧洲训练和比赛节奏要比中国快；小孩子的训练也不一样', '皮亚蒂时隔7月重回名单，当时他韧带撕裂被武磊替换下场', '【塞尔塔vs西班牙人】大名单出炉，武磊入选，皮亚...', '加耶戈：球队需要保持上轮联赛下半场时的状态', '互联网足球产业联盟合作伙伴'"
50219330,卢卡斯-博耶,L. Boyé,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '埃尔切2-0毕包惊险保级！劳尔-古蒂世界波，卢卡斯-博耶传射', '官方：埃尔切买断都灵前锋博耶', '埃尔切1-0莱万特，博耶破门', '格拉纳达2-1埃尔切，基纳世界波，博耶、普埃尔塔斯破门', '埃尔切射手：我没看清点球的经过，但人总是有抗议的习惯', '剑南春丨西甲战报：马竞3-1埃尔切继续领跑，苏牙梅开二度', '官方：埃尔切租借都灵前锋博耶', '官方：雷丁租借都灵前锋博耶', '官方：雅典AEK租借都灵前锋', '官方：塞尔塔租借都灵前锋', '三队要都灵前锋，马扎里不放人', '全市场：维罗纳想要都灵边锋', '互联网足球产业联盟合作伙伴'"
50197785,费尔南德斯,Josan Ferrández,"'巴拉多利德连扳两城2-2绝平埃尔切，后者遭遇联赛12轮不胜', '瓦伦西亚1-2埃尔切遭三连败，费尔南德斯传射，李刚仁送助攻', '互联网足球产业联盟合作伙伴'"
50132539,佩雷-米利亚,Pere Milla,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '埃尔切1-1贝蒂斯，博尔哈点射，米利亚扳平', '赫塔费1-1埃尔切，于纳尔扳平，安赫尔-罗德里格斯失点', '西甲十月最佳球员候选：苏亚雷斯、库尔图瓦领衔，帕雷霍入选', '1-0读秒绝杀赫罗纳，埃尔切成功升入下赛季西甲联赛', '脚后跟轻巧一磕成功穿裆马科斯-略伦特，这球想象力给打满分', '互联网足球产业联盟合作伙伴'"
50122696,卡里略,G. Carrillo,"'前副主席：我们向佩莱格里诺提供多个锋线人选，他选择卡里略', '塞维利亚1-2埃尔切遭三连败，劳尔-古蒂建功，德容破门难救主', '卡里略近5场西甲打进2球，他前34场只打进1球', '埃尔切战瓦伦西亚大名单：卡里略回归', '埃尔切2-2奥萨苏纳，鲁文-加西亚传射，菲德尔、卡里略建功', '官方：埃尔切免签南安普顿前锋卡里略', '斯基拉：埃尔切不会签下略伦特，他们已经敲定南安普顿前锋', '阿斯报：卡里略将会与南安普顿提前解约，然后自由转会埃尔切', '电讯报：在谈判，埃尔切可能免签南安普顿前锋卡里略', '阿斯报：南安普顿可能会和卡里略提前解约，埃尔切有意免签', '天空体育：南安普顿愿意出售赫特、鲍法尔和卡里略', '美媒：南安普顿两年前想买希门尼斯，但是最终买了卡里略', '阿媒：萨斯菲尔德主教练佩莱格里诺想要南安普顿前锋卡里略', '阿媒：博卡青年想要吉多-卡里略，南安普顿愿意降价出售', '吉多-卡里略的快问快答：最佳球员是纳乔，最想为马竞效力', '西媒：博卡青年有意引进南安普顿外租前锋卡里略', '阿根廷媒体：蓝十字有意引进南安普顿外租前锋吉多-卡里略', '深度解析：南安普顿的经营模式为什么会出问题？', '5场6球又双叒叕梅开二度 ，外租球员报告新鲜出炉', '外租观察：8场4球，埃尔尤努西连场破门闪耀凯尔特人', '互联网足球产业联盟合作伙伴'"
50086168,菲德尔,Fidel,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '【#西甲联赛#争冠争议!马竞门神提前离开门线 点...', '【迪宝解说】这是昨天埃尔切点球时皇萨球迷的内心真实写照吗', '该重罚吗？奥布拉克在埃尔切球员主罚点球时提前双脚离线', '保级生死战埃尔切1-1巴拉多利德，菲德尔破门，奥拉萨绝平', '剑南春丨西甲战报：皇马1-1埃尔切，魔笛建功，卡瓦哈尔送点', '埃尔切2-2奥萨苏纳，鲁文-加西亚传射，菲德尔、卡里略建功', '瓦伦西亚1-2埃尔切遭三连败，费尔南德斯传射，李刚仁送助攻', '西乙联赛11月最佳球员：埃尔切边锋菲德尔', '西乙11月最佳球员提名：斯图亚尼领衔', '官方：拉帕签下阿尔梅里亚边锋', '互联网足球产业联盟合作伙伴'"
50225817,莫伦特,Tete Morente,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '官方：埃尔切签下马拉加边锋莫伦特', '互联网足球产业联盟合作伙伴'"
50630701,迪亚曼卡,Cheikh Diamanka,'互联网足球产业联盟合作伙伴'
50452026,胡斯托,Manu Justo,'互联网足球产业联盟合作伙伴'
50222951,劳尔-古蒂,Raúl Guti,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '懂球帝一周十佳球：戈麦斯S型弧线世界波绝杀，莱万创历史', '埃尔切2-0毕包惊险保级！劳尔-古蒂世界波，卢卡斯-博耶传射', '10分09秒，劳尔-古蒂拿到埃尔切队史21世纪最快红牌', '皇家社会2-0埃尔切，奥亚萨瓦尔破门，埃卢斯通多头球建功', '塞维利亚1-2埃尔切遭三连败，劳尔-古蒂建功，德容破门难救主', '赫塔费客场3-1逆转十人埃尔切，库库雷利亚、海梅-马塔破门', '搬运，埃尔切中场：劳尔-古蒂在萨拉戈萨19-20集锦', '官方：埃尔切签下萨拉戈萨中场劳尔-古蒂', '西媒：埃尔切想要签下萨拉戈萨中场劳尔-古蒂', '西媒：引援，埃瓦尔想要萨拉戈萨中场劳尔-古蒂', '西媒：皇家贝蒂斯想要签下萨拉戈萨中场劳尔-古蒂', '西媒：莱万特想要签下萨拉戈萨中场劳尔-古蒂', '世体：皇家贝蒂斯想要萨拉戈萨中场劳尔-古蒂', '官方：萨拉戈萨与中场小将劳尔-古蒂续约至2023年', '互联网足球产业联盟合作伙伴'"
50196301,福尔奇,Ramón Folch,'互联网足球产业联盟合作伙伴'
50169416,路易斯米-桑切斯,Luismi Sánchez,"'官方：埃尔切签下巴拉多利德中场路易斯米', '2月的皇家奥维耶多月度五星级球员是：路易斯米！恭...', '奥维耶多官方宣布，从巴拉多利德租借中场路易斯米至...', '马卡：皇家奥维耶多想要引援，但是被工资帽卡住了', '迎来首秀，卢宁在国王杯中为巴拉多利德首发出场', '巴拉多利德主帅要求在冬窗送走8人重新引援，包括皇马3人', '互联网足球产业联盟合作伙伴'"
50047194,马尔科内,I. Marcone,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '德转更新：埃尔切买断博卡青年中场马尔科内', '里昂俱乐部官方宣布，本赛季租借到埃尔切的左后卫尤...', '埃尔切战巴拉多利德大名单：马尔科内停赛', '赫塔费客场3-1逆转十人埃尔切，库库雷利亚、海梅-马塔破门', '马卡报：埃尔切将买断博卡青年中场马尔科内', '官方：埃尔切租借博卡青年中场马尔科内', '世体：皇家贝蒂斯计划冬窗补强中场，候选球员包括阿莱尼亚', '西媒：皇家贝蒂斯想要阿根廷国脚马尔科内', '阿根廷已提交美洲杯40人名单，最终23人由伤员恢复情况决定', '阿媒曝光阿根廷美洲杯32人名单：梅西领衔，阿圭罗重返国家队', '官方：蓝十字签下阿根廷国脚', '官方：拉努斯与阿根廷国脚续约', '互联网足球产业联盟合作伙伴'"
50205284,何塞马-桑切斯,Josema Sánchez,"'官方：埃尔切与主力中卫何塞马续约', '互联网足球产业联盟合作伙伴'"
50177646,迭戈-冈萨雷斯,Diego González,"'奥萨苏纳2-0埃尔切，巴尔哈破门，迭戈-冈萨雷斯乌龙送礼', '互联网足球产业联盟合作伙伴'"
50119371,H-帕拉西奥斯,H. Palacios,"'官方：埃尔切免签哥伦比亚后卫帕拉西奥斯', '官方：国民竞技签哥伦比亚国脚', '互联网足球产业联盟合作伙伴'"
50119354,贡萨洛-贝尔杜,Gonzalo Verdú,"'马卡报评埃尔切20/21赛季最佳11人：劳尔-古蒂、米利亚入选', '本赛季西甲非门将球员登场时间排行：瓦拉内居首', '互联网足球产业联盟合作伙伴'"
50113943,西富恩特斯,Cifuentes,"'官方：埃尔切签下马拉加后卫西富恩特斯', '西媒：马拉加计划解雇10名一线队球员，已与球员完成约谈', '官方：阿尔瓦塞特租马拉加后卫', '互联网足球产业联盟合作伙伴'"
50096719,比加斯,Bigas,"'官方：埃尔切签下埃瓦尔后卫佩德罗-比加斯', '门迪利巴：不进球就不可能在皇马身上拿分；本泽马是最佳前锋', '埃瓦尔战加的斯大名单：比加斯缺阵', '剑南春丨西甲战报：皇马3-1取胜，克罗斯闪击，阿扎尔献助攻', '官方：埃瓦尔买断拉斯帕尔马斯后卫比加斯', '官方：埃瓦尔租借拉帕后卫', '官方：桑佩尔重伤，赛季报销', '互联网足球产业联盟合作伙伴'"
50069818,埃德加-巴迪亚,Edgar Badia,"'本赛季西甲门将扑救榜：奥布拉克成首位扑救达100次的门将', '西媒：瓦伦西亚和格拉纳达想要埃尔切门将巴迪亚', '本赛季西甲门将扑救次数榜：埃尔切门将居首，奥布拉克第三', '西甲三月最佳扑救候选：特狮极限扑救、奥布拉克两连扑入围', '埃尔切门将谈换得梅西球衣：他是世界最佳、历史最佳', '埃尔切门将谈换得梅西球衣：是的，我当时确实很惊讶', '首先恭喜巴萨如约3-0战胜埃尔切，打穿对手[棒棒...', '当幸福来敲门，埃尔切门将惊讶梅西竟主动找自己交换球衣', '埃尔切门将谈巴萨：虽然梅西不在，但他们还有其他世界级球员', '西甲11月最佳球员候选：菲利克斯领衔，奥亚萨瓦尔入选', '世体：西班牙人高层向鲁比保证，球队会保住主力框架', '世体：西班牙人将签下埃尔切门将巴迪亚，其违约金仅为5万欧', '互联网足球产业联盟合作伙伴'"
