id,name,english_name,news_titles
50002641,阿尔特塔,Mikel Arteta,"'官方：阿森纳签下21岁本菲卡左后卫塔瓦雷斯，将身披20号出战', '亚马逊大片来袭：阿森纳将成为孤注一掷系列下一部主角俱乐部', '官方：阿森纳与年轻门将奥孔科沃续约，新赛季他将升入一线队', 'Goal：阿森纳门将鲁纳尔松接近转会土耳其球队阿尔塔伊', '天空体育：阿尔特塔愿意让拉卡泽特离开球队', '小法：阿森纳管理层支持阿尔特塔，球员也很享受在他手下踢球', '镜报：提高报价，阿斯顿维拉将第三次求购史密斯-罗', '葡媒：阿尔特塔已经与塔瓦雷斯通过电话，并欢迎其来到阿森纳', '记者：下赛季，枪手U23门将奥孔科沃可能成为一线队三门', '技术分析：阿森纳为何钟情本-怀特？优秀的出球和推进后卫', '蒂尔尼：从没想过会复制凯尔特人的爱，但阿森纳球迷太棒了', '阿尔特塔：能与蒂尔尼一起共事很愉快，期待他效力更多年', '晚旗报：小枪手萨卡无所畏惧，已经准备好迎接德国队的挑战', '贝莱林：阿尔特塔彻底改变了阿森纳，但球迷不会立即发现', '阿森纳阿尔特塔专辑[支][持][你号V了][你号...', '英媒：蒂尔尼与阿森纳达成协议，即将续约5年', '镜报：如果找到新的主力门将，阿尔特塔愿意出售莱诺', '曝阿森纳有意范德贝克！曼联失意国脚已成为潜在目标', '时间紧任务重：今天距离阿尔特塔指导告诉我们的，阿...', '奈尔斯：我会和阿尔特塔谈谈，也做好了离开的准备', '互联网足球产业联盟合作伙伴'"
50123366,斯图伊文伯格,A. Stuivenberg,"'穆帅：威尔士要慎重使用贝尔；他们有阿森纳的教练让我不舒服', '阿森纳确认教练团队：永贝里留任，前巴萨门将担任守门员教练', '邮报：阿尔特塔将聘请威尔士队助理教练斯图伊文伯格', '吉格斯找助教，想要范加尔副手', '互联网足球产业联盟合作伙伴'"
50195209,史蒂夫-朗德,S. Round,"'阿森纳确认教练团队：永贝里留任，前巴萨门将担任守门员教练', '互联网足球产业联盟合作伙伴'"
50597972,耶奥里松,A. Georgson,"'记者：阿森纳助教耶奥里松离任，前曼城定位球教练将接替他', '互联网足球产业联盟合作伙伴'"
50597973,米格尔-莫利纳,Miguel Molina,'互联网足球产业联盟合作伙伴'
50597974,卡洛斯-奎斯塔,Carlos Cuesta,'互联网足球产业联盟合作伙伴'
50027314,奥巴梅扬,P. Aubameyang,"'非洲球员历史转会费排行：佩佩居首，阿什拉夫并列第五', '红酒经典回顾：扎卡红牌奥巴梅扬乌龙，红酒军团客场三分到手', '这些球员本可以代表其他国家，谁会取得最大的成功？', 'P无痕 | 奥教练与萨教练 (by afcint...', '德媒评多特离队球员最贵阵容：登贝莱和桑乔领衔', '德甲球员转出转会费排名：登贝莱第一，桑乔第三', '奥巴梅扬再次光顾网红撒盐哥牛排餐厅，并在最后亲自撒盐', '上赛季4个后腰都走？！英媒：托马斯和埃尔内尼今夏可能离队', '鹿同学译制丨谁是阿森纳舞王？埃尔内尼是埃及皮尔洛？', '职业球员到底有多猛？看看奥巴梅扬踢业余足球就知道了', '回忆：登贝莱-奥巴梅扬快马连线', '姆巴佩：沃克像一辆坦克一样，跑起来就挡不住', '【吐槽个球】奥巴梅扬阿森纳十佳球！据悉奥巴梅扬在...', '心情大好，出去走走，奥巴梅扬驾豪车与好友出游', 'LIAO-TAN高清制作：阿森纳的那些经典CP（字幕版）', '【转会传闻 重磅】： 根据电讯报报道，图赫尔想要...', '罗马诺：如果有重要报价出现，阿森纳可能出售奥巴梅扬', '记者：锋线引援备选，切尔西考虑莱万、英斯和奥巴梅扬', '互联网足球产业联盟合作伙伴'"
50006937,威廉,Willian,"'有钱了？英媒：理想状态下，阿森纳可通过卖人收回1.4亿英镑', '记者：威廉不会去迈阿密国际，但是他今夏依然可能离队', '因威廉离谱的薪资要求，迈阿密国际决定放弃引进', '足球动态丨阿森纳球员威廉发文致谢妻子10周年快乐...', '威廉现身美国奥兰多，或将加盟奥兰多城，与纳尼成为...', '罗马诺：史密斯-罗即将续约，威廉、扎卡和贡多齐将离开', '小花聊转会：阿森纳近期转会汇总及分析', '名记：威廉铁定离开阿森纳，但目前球员没和其他英超球队接触', '[Skysports]“斯坦福桥的诱惑”据天空体...', '据《天空体育》报道，阿森纳的威廉想在这个夏天离开...', '天空体育：多支球队有意签下威廉，但球员渴望重回切尔西', '【传言】最近，阿森纳前锋威廉与美职联球队迈阿密国...', '太阳报：威廉想加入大卫·贝克汉姆的迈阿密国际', '比赛前瞻：水晶宫VS阿森纳', '[transfermarkt]正道的光？据tra...', '阿森纳主帅阿尔特塔将在接下来的几周里回顾这个艰难...', '斯基拉：威廉接近离开阿森纳，迈阿密国际对他感兴趣', '邮报：威廉想走，但阿森纳尚未收到其他球队的报价', '[transfers]“兵工厂的裁员”据tran...', '互联网足球产业联盟合作伙伴'"
50405115,恩凯蒂亚,E. Nketiah,"'跟队记者：水晶宫1200万镑报价恩凯蒂亚被拒，枪手要价2500万', '有钱了？英媒：理想状态下，阿森纳可通过卖人收回1.4亿英镑', '罗马诺：水晶宫、西汉姆联和勒沃库森对恩凯蒂亚感兴趣', '天空体育：这个夏窗，阿森纳会送走锋线小将恩凯蒂亚', '伦敦足球：多家欧洲球队对阿森纳前锋恩凯蒂亚很有兴趣', '伦敦足球网：英超、德甲多支球队有意阿森纳前锋恩凯蒂亚', '是在暗示什么吗？恩凯蒂亚社媒晒照：伸出手掌，掌心向前', 'TA：恩凯蒂亚目前还没有接受阿森纳提供的续约合同', '鹿同学译制丨谁是阿森纳舞王？埃尔内尼是埃及皮尔洛？', 'TA：阿森纳为恩凯蒂亚开出新合同，如果球员不续约可能被出售', '英媒：恩凯蒂亚被推荐给利兹联，阿森纳要价2000万镑', '镜报：沃特福德考虑求购恩凯蒂亚，阿森纳要价1500万镑', '斩获英超首球，史密斯-罗是枪手赛季第4位联赛进球的U21球员', '阿森纳比赛回顾：上次主场面对埃弗顿，阿森纳3球逆...', 'Turkish：今天对阿森纳而言是糟糕的一天！', 'DT，Lee，Kelechi采访合集', '阿森纳队的单刀球面对门将1v1射门训练', '恩凯蒂亚：希望拉卡尽快复出，他对球队非常重要', '补时绝平，恩凯蒂亚当选阿森纳vs富勒姆一役英超官方最佳球员', '恩凯蒂亚本赛季英超两次替补建功，1次制胜1次绝平', '互联网足球产业联盟合作伙伴'"
50248747,内尔森,R. Nelson,"'有钱了？英媒：理想状态下，阿森纳可通过卖人收回1.4亿英镑', '名记：阿森纳小将内尔森2018年就曾告诉我队友萨卡是最强新星', '天空体育：阿森纳在听取对奈尔斯、内尔森和威洛克的报价', '罗马诺：阿森纳给内尔森开出新合同，但他还没有接受', '记者：阿森纳球员内尔森正在考虑自己的下家据Jam...', '转会传闻：根据英国媒体sdna报道，阿森纳小将内...', '阿森纳队的单刀球面对门将1v1射门训练', '英媒：奥林匹亚科斯有兴趣租借内尔森', '奈尔斯：不想在阿森纳的板凳上烂掉；我的速度在枪手是前三', '英媒：精简阵容，阿森纳今夏将听取对内尔森的报价', '罗马诺：瓦伦西亚没有和阿森纳谈妥内尔森租借事宜', '天空体育：内尔森和钱伯斯将留队，托雷拉将留在马竞', '跟队记者：阿森纳和纽卡正在商谈威洛克租借事宜', '镜报：比利亚雷亚尔和贝蒂斯有兴趣租借内尔森', '新人报到不留情面，厄德高在训练中穿裆威洛克', '阿尔特塔：厄德高是天才球员；曼联一直处在最佳状态', '记者：S罗去英冠踢球之后进步了，枪手也想把内尔森租到英冠', '独立报：枪手想买布恩迪亚，诺维奇要求转会费不低于4000万镑', '马丁内利在赛前热身时扭伤脚踝，内尔森临时首发出战', '莱诺会打更多的比赛吗？塔帅：这取决于我们可承受的风险', '互联网足球产业联盟合作伙伴'"
