id,name,english_name,news_titles
50149462,马希,J. Marsch,"'莱比锡新帅鼓励球员，训练场写上乔丹名言', '马希：在与拜仁多特等队交手时有最佳表现，就是莱比锡的目标', '马希：我曾作为助教随莱比锡打进德国杯决赛，这项赛事很特别', '图片报分析福斯贝里欧洲杯出色表现原因：在俱乐部得到长约', '图片报：纳帅把莱比锡员工的许愿箱留给了新帅马希', '哈尔斯滕贝格：没拿到续约合同，也没和新帅马希有过接触', '迎莱比锡生涯告别战，纳帅：很遗憾没能夺冠，就托付给马希了', '奥地利媒体：莱比锡新帅马希可能换阵型，考虑签下两名边锋', '图片报：莱比锡至少与福斯贝里续约到2025年，周四前宣布', '萨尔茨堡体育主管：马希是很棒的教练；拜仁的统治力太强了', '图片报：马希并不着重控球，恩昆库和奥尔莫的位置可能受影响', '马特乌斯：纳帅是最贵的主教练，因此压力也是最大的', '踢球者：莱比锡愿花1200万买断小克鲁伊维特，索尔洛特会被卖', '图片报：马希今夏入主莱比锡，黄喜灿也许不会走了', '队史最高，马希执教萨尔茨堡场均攻入3.1球', '带谁去莱比锡？马希笑称：很多，萨尔茨堡有不少我喜欢的球员', '莱比锡CEO：马希是理想的新帅人选，他很了解我们的理念', '莱比锡红牛新主帅马希教科书式的中场训话，助球队重振士气', '官方：萨尔茨堡主帅马希接任纳格尔斯曼，成为莱比锡新主帅', '寻穆里尼奥继任者：两人成潜在目标，其中一位执教过哈兰德', '互联网足球产业联盟合作伙伴'"
50002511,福尔茨,M. Volz,"'准备接手米兰？记者：朗尼克正在学习意大利语', '互联网足球产业联盟合作伙伴'"
50233836,拜尔洛泽尔,A. Beierlorzer,"'莱比锡官方：前主帅拜尔洛泽尔回归，担任新帅马希的助教', '踢球者：美因茨与前主帅拜尔洛泽尔解约，他将担任莱比锡助教', '官方：美因茨主帅拜尔洛泽尔离任', '德媒：曾特纳将担任美因茨一门，弗洛里安-穆勒大概率会离队', '队史第一，纳格尔斯曼治下莱比锡联赛场均打进2.3球', '美因茨庆祝保级成功：8连冠？无聊！11次保级？世界级！', '科隆中场：换帅是球队正确的一步；吉斯多尔很通人情', '被换下后拒绝与教练握手？美因茨主帅：马隆加已经和我道歉了', '美因茨主帅：我的球队已经倾尽全力，拜仁球员个人能力太强了', '美因茨主帅：尽管拜仁现在不是领头羊，但他们当然是热门', '美因茨主帅：不想把胜利拱手让给拜仁，但一般来说他们都会赢', '美因茨主帅批评红军外租小将：阿沃尼伊拥有一切，不好好踢球', '德甲上半程教练场均积分：纳格尔斯曼第一，弗里克第二', '美因茨官方：拜尔洛泽尔成为球队新任主帅', '图片报：科隆计划周一由新帅带队训练，但达尔道伊拒绝邀约', '德媒：美因茨选帅不再考虑前勒沃库森主帅海尔里希', '踢球者：美因茨考虑签下科隆前主帅拜尔洛泽尔', '官方：科隆主帅拜尔洛泽尔离任', '战绩不佳，德媒：科隆主帅拜尔洛泽尔接近下课', '主帅：我们比赛精神没问题', '互联网足球产业联盟合作伙伴'"
50101298,波尔森,Y. Poulsen,"'欧洲杯俱乐部进球排行榜，尤文、国米、曼城排名前3', '丹麦和西班牙进入四强，莱比锡官方：期待莱比锡球员会师决赛', '多尔贝格国家队已进8球，目前丹麦阵中仅次于埃里克森等3人', '损兵折将，丹麦主力波尔森、沃斯因伤无缘出战威尔士', '三年来首次，波尔森在丹麦队连续两场进球', '（看哭了，我相信爱情了！）9天时间，跌宕起伏的故...', '（2016-2017赛季的RB莱比锡锋线，德甲亚...', '波尔森：抓对手回传失误？那是我这辈子第一次太累没往回跑', '剑南春丨欧洲杯战报：丹麦4-1俄罗斯惊险出线，藤森世界波', '58场10球，波尔森国家队生涯进球数已上双', '欧洲杯前两轮俱乐部进球数：尤文5球领先，药厂和国米4球', '99秒！欧洲杯第2快进球！盘点欧洲杯8大最快进球', '与前14场持平，波尔森近4场为丹麦打进2球', '剑南春丨欧洲杯战报：比利时2-1逆转丹麦，德布劳内替补传射', '欧洲杯最快进球排名：波尔森位列第2，莱万被挤至第3', '丹麦vs比利时，开场刚刚100秒，比利时后场传球...', '波尔森打入丹麦大赛第二快进球，最快是上届世界杯的57秒破门', '开场98秒被破门，这是比利时近16年来最快丢球', '波尔森国家队生涯已打入9球，目前丹麦队中仅次于埃里克森', '波尔森破门', '互联网足球产业联盟合作伙伴'"
50055262,福斯贝里,E. Forsberg,"'欧洲杯最新射手榜：C罗5球依旧领跑，斯特林、凯恩3球', '你书里的剧情，我不想上演', '欧洲杯俱乐部进球排行榜，尤文、国米、曼城排名前3', '欧洲杯淘汰赛红黑榜', '欧洲杯淘汰赛：乌克兰加时赛读秒绝杀瑞典，津琴科一传一射！', '欧洲杯最新射手榜：C罗依然领跑，希克、福斯贝里、本泽马4球', '追平拉尔森，福斯贝里成为瑞典队史欧洲杯第二射手', '福斯贝里：我们是表现更好的球队，这样的结果让人难以接受', '远射得分、两次中框，福斯贝里评分高居瑞典队内之首', '剑南春丨欧洲杯战报：乌克兰加时2-1绝杀瑞典，津琴科传射', '不走运，福斯贝里单场两次击中门框本届欧洲杯最多', '自04年以来，只有C罗和福斯贝里单届欧洲杯左右脚各至少进2球', '近27年来，福斯贝里是瑞典队史首位大赛连续3场破门的球员', '突施冷箭！福斯贝里禁区外围远射变线入网，瑞典扳平比分', '福斯贝里是瑞典队史单届欧洲杯进球4+第一人，大赛队史第6人', '福斯贝里破门！瑞典强势捍卫“抢八”尊严！', '福斯贝里本届欧洲杯已打入4球，并列射手榜次席仅次于C罗', '#福斯贝里破门# 第43分钟，伊萨克横传，福斯贝...', '欧文预测英德大战：英格兰赢球并且零封德国', '互联网足球产业联盟合作伙伴'"
50252348,卢克曼,A. Lookman,"'图片报：莱比锡外租三将卢克曼、萨拉基、坎迪多都可以离队', '德媒：莱比锡外租三将今夏回归，但不确定能否留队', '电讯报：卢克曼有望在莱比锡新帅马希手下得到机会', '英超深度：富勒姆能否成功保级？', '希勒评第27轮英超最佳阵：凯恩、贝尔领衔，曼联三名球员入选', '富勒姆1-0谢菲联，卢克曼制胜', '里程碑，卢克曼完成英格兰联赛生涯百场', '本赛季五大联赛穿裆次数排行：内马尔12次居首，桑乔第二', '剑南春丨英超战报：曼联2-1富勒姆继续领跑，博格巴世界波', '希勒评英超第10轮最佳阵：德布劳内领衔，马赫雷斯在列', '莱斯特城1-2不敌富勒姆，卢克曼建功，巴恩斯爆射破门', '卢克曼：我对上场比赛犯的错误负全部责任，我向我的...', '西汉姆联1-0富勒姆，绍切克绝杀，卢克曼读秒勺子点球被扑', '卢克曼勺子点球失绝平，教练队友送安慰：我们会陪在他身边', '西汉姆联vs富勒姆比赛结束后，直播间伊恩赖特等嘉...', '打破进球荒，卢克曼取得2018年5月来首粒联赛进球', '懂球帝一周十佳球：兰奇尼读秒远射世界波，卡里略凌空爆射', '卢克曼在富勒姆首秀连过2人破门，曾经被耽误的新星...', '官方：富勒姆租借RB莱比锡边锋卢克曼', '德媒：卢克曼离开后，莱比锡希望补强一名边锋', '互联网足球产业联盟合作伙伴'"
50228207,黄喜灿,Hwang Hee-Chan,"'踢球者：即将签下A席，莱比锡将外租索尔洛特和黄喜灿', '中日韩三大国脚奥地利顶级联赛制造进球数据：阿兰：...', '斯里兰卡0-5韩国  金信煜梅开二度', '韩国5-0十人斯里兰卡晋级12强，金信煜双响，黄喜灿造两球', '韩国公布世预赛大名单：孙兴慜领衔，金信煜、金玟哉在列', '图片报：莱比锡多名球员可能今夏离开，萨比策和黄喜灿在列', '莱比锡赛后评分：后防线集体沦陷，首发阵容中仅两人评分及格', '【寻梦欧罗巴】兴慜进球数追平传奇，义助输掉生死战保级堪忧', '图片报：马希并不着重控球，恩昆库和奥尔莫的位置可能受影响', '电讯报：西汉姆和水晶宫有意黄喜灿，莱比锡要价1000万镑', '【寻梦欧罗巴】“三黄”力助球队取胜，旅欧派集体大爆发', '踢球者：莱比锡要和萨比策等三将谈续约，黄喜灿可能会留队', '德国杯黄喜灿传射建功，赛后球员们在更衣室跳江南style', '图片报：马希今夏入主莱比锡，黄喜灿也许不会走了', '传射助莱比锡杀进德国杯决赛，黄喜灿更衣室跳江南style', '莱比锡赛后评分：韩国前锋黄喜灿、福斯贝里、坎普尔满分', '#黄喜灿传射#【黄喜灿加时破门+121分钟助攻绝...', '柠檬盛宴！韩国国脚黄喜灿一传一射率莱比锡闯入德国杯决赛', '莱比锡2-1不莱梅  挺进德国杯决赛', '德媒：狼堡想留下菲利普，可能已经为黄喜灿送上报价', '互联网足球产业联盟合作伙伴'"
50139227,索尔洛特,A. Sørloth,"'莱比锡CEO：未来几天还会有转会操作，不排除任何可能性', '踢球者：即将签下A席，莱比锡将外租索尔洛特和黄喜灿', '斯基拉：贝西克塔斯向迭戈-科斯塔开出两年合同，年薪300万欧', '德媒：门兴和法兰克福都想要约维奇', '评论区被刷爆，索尔洛特喊话特拉布宗体育球迷：请适可而止', '不走运，本泽马是本赛季欧冠击中门框次数最多的球员', '斯基拉：贝西克塔斯想买前锋，考虑迭戈-科斯塔等球员', '图片报：莱比锡多名球员可能今夏离开，萨比策和黄喜灿在列', '前主席谈索尔洛特：我们送了台法拉利去，莱比锡就当成普通车', '图片报：马希并不着重控球，恩昆库和奥尔莫的位置可能受影响', '踢球者：莱比锡愿花1200万买断小克鲁伊维特，索尔洛特会被卖', '索尔洛特：想拿德国杯冠军，莱比锡很年轻，但有远大目标', '德甲官方专访恩昆库：有信心夺得一项冠军 想拜莱万为师！', '踢球者德甲本轮最佳阵容：莱比锡4人入选，法兰克福3人', '图片报德甲本轮最佳阵容：博阿滕领衔，约维奇和A席在列', '缩小积分差距，纳帅：输给拜仁后争冠机会没了，这周又回来了', '梅开二度，索尔洛特：两个球都是队友传得好', '莱比锡4-1不莱梅，索尔洛特双响，萨比策破门', '莱比锡生涯首次，索尔洛特梅开二度', '挪威客场1-0黑山，索尔洛特包抄破门制胜', '互联网足球产业联盟合作伙伴'"
50137195,安德烈-席尔瓦,André Silva,"'【欧洲杯出场时间惨不忍睹的大牌球星一览】安德烈-...', '随着A席加盟莱比锡、约维奇租期结束，刚刚回归的帕...', '德转评夏窗转会球员最佳阵：阿什拉夫领衔，恰10、杜牧在列', '格拉斯纳：单赛季28球的A席无法一对一替代，博雷类型也不同', '夏窗球员转会费排行：于帕4250万欧居首，科纳特列次席', '莱比锡高层：席尔瓦是德甲最佳前锋之一，未来会是球队的核心', 'A-席尔瓦：莱比锡有稳定参加欧冠的机会，我想尽可能多进球', '莱比锡红牛新援安德烈—席尔瓦上赛季德甲进球集锦', '官方：法兰克福前锋安德烈-席尔瓦加盟莱比锡', '罗马诺：A席已经在周五体检，莱比锡与法兰克福达成协议', '踢球者：即将签下A席，莱比锡将外租索尔洛特和黄喜灿', '图片报：莱比锡为A席报价3000万欧，但法兰克福只能分2300万', '图片报：基础转会费2300万欧，莱比锡将签下安德烈-席尔瓦', '格拉斯纳：我们想留下A席和科斯蒂奇，法兰克福很有雄心', '英媒列今夏“传阿森纳”名单：本-怀特、奥亚尔和爱德华在列', '欧洲杯前锋身价榜：姆巴佩居首，凯恩卢卡库分列二、三位', '阿森纳近期两大绯闻进攻球员数据对比：安德烈-席尔...', '阿斯：经纪人门德斯将A席推荐给了巴萨和马竞等多支球队', '每体速读:巴萨锋线引援新选择：安德烈·席尔瓦在签...', '互联网足球产业联盟合作伙伴'"
50527549,诺沃亚,Hugo Novoa,'互联网足球产业联盟合作伙伴'
