id,name,english_name,news_titles
50091180,德尔扎卡里安,M. Der Zakarian,"'官方：蒙彼利埃前主帅德尔扎卡里安执教布雷斯特', '法媒：扎卡里安将执教布雷斯特，而图卢兹将成为吉翁最佳选择', 'RMC：德尔扎卡里安拒绝执教帕纳辛奈科斯', '亲手送南特进降级附加赛，蒙彼利埃主帅：我建议他们学会尊重', '队报：在谈判，蒙彼利埃要与主帅德尔扎卡里安续约', '来自成都的法甲一线队视频分析师：回报祖国是我的梦想！', '官方：蒙彼利埃与球队主帅德尔扎卡里安续约', '互联网足球产业联盟合作伙伴'"
50462810,佩雷斯,G. Peres,'互联网足球产业联盟合作伙伴'
50053045,沙博尼耶,G. Charbonnier,"'圣埃蒂安1-2遭布雷斯特逆转，哈兹里破门，沙博尼耶梅开二度', '懂球帝本周十佳球：腾云驾雾卢卡库，出其不意克罗斯', '互联网足球产业联盟合作伙伴'"
50266740,塔瓦雷斯,Heriberto Tavares,"'官方：葡超法马利康租借布雷斯特边锋塔瓦雷斯', '官方：布雷斯特签下本菲卡边锋塔瓦雷斯', '队报：布雷斯特接近签下本菲卡边锋塔瓦雷斯', '互联网足球产业联盟合作伙伴'"
50225735,欧文-卡多纳,I. Cardona,"'法乙/法甲赛季最佳球候选：德洛尔倒钩，劳里恩特垂直电梯球', '卧槽，这是什么神仙球，我竟然第一次看到', '持续关注，佛罗伦萨有意布雷斯特前锋卡多纳', '动作潇洒，进球精彩！这样高难度的凌空抽射你见过没有？', '2016年5月21日，摩纳哥U19在锋线双子星姆...', '摩纳哥足球俱乐部官方宣布，法国前锋欧文-卡多纳正...', '今天是红白小将欧文-卡多纳的22岁生日，让我们祝...', '摩纳哥早报：摩纳哥想要尤文2号门将', '互联网足球产业联盟合作伙伴'"
50174174,奥诺拉,F. Honorat,"'布雷斯特1-2遭雷恩逆转，奥诺拉破门+送点，格勒尼耶点射', '布雷斯特2-0尼斯，穆涅、奥诺拉建功，拉尔索纳出现诡异失误', '官方：布雷斯特签下圣埃蒂安边锋奥诺拉', '官方：圣埃蒂安签下本土中场', '互联网足球产业联盟合作伙伴'"
50166705,菲利波托,R. Philippoteaux,"'官方：布雷斯特签下尼姆中场菲利波托', '队报：布雷斯特与尼姆中场菲利波托谈妥三年合同', '《队报》评法甲第六轮最佳阵容，巴黎三人入选，勒孔...', '互联网足球产业联盟合作伙伴'"
50160214,穆涅,S. Mounié,"'尼斯3-2布雷斯特，穆涅双响，毛里斯助攻戴帽，卡马拉绝杀', '布雷斯特2-1逆转波尔多，费弗尔、穆涅建功，黄义助破门', '本赛季五大联赛第一空霸：穆涅', '布雷斯特2-0尼斯，穆涅、奥诺拉建功，拉尔索纳出现诡异失误', '官方：布雷斯特签下哈德斯菲尔德前锋穆涅', '队报：500万欧元，布雷斯特将在周二签下哈镇前锋穆涅', '队报：布雷斯特在求购哈德斯菲尔德前锋穆涅', '英媒：在谈判，圣埃蒂安想要哈德斯菲尔德前锋穆涅', '队报：哈镇前锋穆涅在听取其他球队的报价', '队报：尼姆想要哈德斯菲尔德前锋穆涅', '哈镇上月最佳球员：穆涅', '互联网足球产业联盟合作伙伴'"
50436832,勒杜阿龙,J. Le Douaron,"'斯特拉斯堡2-2布雷斯特，勒杜阿龙绝平比分', '互联网足球产业联盟合作伙伴'"
50166474,贝尔贝格拉,H. Belkebla,"'洛里昂1-0布雷斯特，阿贝热尔低射制胜，劳里恩特中柱', '官方：布雷斯特与主力中场贝尔科布拉续约', '队报：进行接触，流浪者想要布雷斯特中场贝尔贝格拉', '网游直播秀屁屁，阿尔及利亚中场被逐出国家队', '互联网足球产业联盟合作伙伴'"
50061689,拉斯尼,P. Lasne,"'国家不幸诗家幸，布雷斯特中场出版了疫情封闭在家时写的诗集', '【法甲球员登场250场里程碑】在法甲第12轮梅斯...', '队报法甲周最佳：伊卡尔迪等巴黎四将入选，本耶德尔在列', '互联网足球产业联盟合作伙伴'"
50458640,本,G. Buon,'互联网足球产业联盟合作伙伴'
50458639,马南加-姆博克,H. Mananga Mbock,"'官方：布雷斯特与法国中场姆博克续约', '互联网足球产业联盟合作伙伴'"
50432419,费弗尔,R. Faivre,"'法媒：米兰和巴黎等队看上费弗尔，布雷斯特要价2000万欧元', '法媒：AC米兰正在密切关注布雷斯特中场费弗尔', '法媒：PSG和米兰都想签下布雷斯特右边锋费弗尔', '布雷斯特1-4南特，西蒙传射，布拉斯、洛萨、库利巴利破门', '法甲球员身价涨幅榜：琼阿梅尼上涨900万欧居首，小基恩在列', '队报：多特、勒沃库森和利兹联有意布雷斯特中场费弗尔', '布雷斯特2-1逆转波尔多，费弗尔、穆涅建功，黄义助破门', '法媒：巴黎和曼联将争夺布雷斯特中场小将费弗尔', '沃勒尔：药厂会在冬窗尝试引援，我们有一些考虑中的人选', '法媒：巴黎和曼联有意“新本阿尔法”费弗尔', '法媒：勒沃库森和里昂有意“新本阿尔法”费弗尔', '梅西本赛季西甲完成60次过人，五大联赛最多', '里昂2-2遭布雷斯特绝平，德佩点射，安东尼-洛佩斯乌龙+送点', '法国的新过人狂魔：费弗尔', '战报：费弗尔破门，摩纳哥客场0:1落败', '莱斯特城新援领衔，盘点法国U21新人', '官方：布雷斯特签下摩纳哥小将费弗尔', '互联网足球产业联盟合作伙伴'"
50255200,雨果-马格内蒂,H. Magnetti,'互联网足球产业联盟合作伙伴'
50462698,迪奥,I. Dioh,'互联网足球产业联盟合作伙伴'
50458645,赛义德-艾哈迈达,R. Said Ahamada,'互联网足球产业联盟合作伙伴'
50033736,法乌苏里耶,J. Faussurier,"'WhoScored五大联赛上周最佳阵容：梅西领衔，内马尔入围', '互联网足球产业联盟合作伙伴'"
50248644,皮埃尔-加布里埃尔,R. Pierre-Gabriel,"'官方：美因茨右后卫加布里埃尔租借加盟法甲布雷斯特', '摩纳哥足球俱乐部官方宣布，21岁的法国后卫皮埃尔...', '摩纳哥早报：美因茨官宣皮埃尔-加布里埃尔加盟球队', '亨利：胜利只是个起点；法尔考证明了自己为什么是法尔考', '?⚪ 亨利对我们的球员皮埃尔-加布里埃尔说：看，...', '戈洛温：我想在这个团队中发光发热！', '最新消息丨摩纳哥伤病营情况：戈洛温继续疗伤中，加布里...', '官方：摩纳哥签下法国U21国脚', '初步谈判，摩纳哥要本土后卫', '互联网足球产业联盟合作伙伴'"
