id,name,english_name,news_titles
50070854,罗纳德-科曼,R. Koeman,"'每体速读:科曼2.0巴塞罗那足球俱乐部2021/...', '世体：西蒙尼和科曼均同意格列兹曼与萨乌尔互换', '小克鲁伊夫：从没想过要替代科曼\xa0小克鲁伊夫日前接...', '小克鲁伊夫：我绝对不会取代科曼，我有自己的原则', '每体速读:科曼：梅西？我信任拉波尔塔能留住他面对...', '开始备战新赛季，巴萨主帅科曼已抵达训练基地', '科曼，观点清晰巴萨主教练科曼近日在其赞助的高尔夫...', '名帅活动｜科曼开车带着瓜迪奥拉一起去打高尔夫球', '世体：巴尔德没入选季前备战名单，科曼希望他先在B队效力', '科曼晒与瓜迪奥拉打高尔夫合照：这是很棒的一天', '投身慈善，普伊奇与科曼、瓜迪奥拉一同参加高尔夫赛', '“我们很平静，梅西会留下的”巴萨主席拉波尔塔和主...', '科曼：只要梅西还没续约我们就应该担心，但我相信主席能解决', '科曼：关于梅西，我很平静上周西甲主席特巴斯在和拉...', '拉波尔塔与科曼重聚\xa0时隔两个月后，拉波尔塔与科曼...', '科曼： 对梅西续约的事情保持“冷静”', '西媒：科曼计划巴萨下赛季的首发三叉戟是梅西+阿圭罗+德佩', '瓜帅、科曼还是塞蒂恩？普伊奇：我喜欢塞蒂恩，他对我很好', '明格萨：梅西总有一天会离开巴萨；布斯克茨下个点球会进的', '佩德里：我想长期效力巴萨；希望梅西能够续约', '互联网足球产业联盟合作伙伴'"
50002053,阿尔弗雷德-许路德,A. Schreuder,"'巴萨助教许路德：德佩的签约非常棒，他在防守端也很努力', '德媒：纳帅的引援目标对拜仁来说很难实现', '记者：拜仁不想掏钱买莱比锡助教；纳帅的第三选择是许路德', '德媒猜拜仁教练组：塔帕洛维奇、布罗伊希留任，首席助教没定', '踢球者：莱比锡两位助教可能随纳帅加盟拜仁', '踢球者：女领队克鲁格会继续留在拜仁，克洛泽很可能离开', '巴萨助教：少了布斯克茨，我们损失了一些组织能力', '图片报：纳帅确实想将巴萨助教许路德带到拜仁，两人保持联系', '拜仁下任主帅有意挖角科曼助手施罗德援引ESPN消...', 'ESPN：纳格尔斯曼希望把巴萨助教许路德带去拜仁', '巴萨助教：和马竞的比赛很重要，但那不是决赛', '巴萨助教：比利亚雷亚尔是强队，这是场重要的比赛', '巴萨助教：皮克是天生领袖；我们已知道如何对付毕包', '巴萨助教：对梅西的侵犯动作在荷兰都是红牌，但在这只是黄牌', '巴萨助教：乌姆蒂蒂上轮联赛就发挥出色，因此今晚首发', '巴萨助教：莫里巴有一颗大心脏，他渴望学习而且雄心勃勃', '许路德：不担心缺乏效率，巴萨是欧洲创造机会最多的球队之一', '巴萨助教：我们希望场上有新球员，所以让明格萨和佩德里首发', '巴萨助教：防守端的失误让我们丢了很多分，今天必须避免', '巴萨助教：明格萨的表现非常好，这就是他首发的原因', '互联网足球产业联盟合作伙伴'"
50002799,阿圭罗,S. Agüero,"'比格利亚晒梅西等4人合照：永不放弃的你们配得上这一切', '从2008到2021，他们经历了很多………', '前国门罗梅罗祝贺阿根廷夺冠：恭喜你们每一个人，享受它吧', '阿圭罗给我发来的', '手举金牌、搂着阿圭罗，梅西晒出国家队老一代球员庆祝合照', '梅西美洲杯夺冠，苏牙又哭了！', '爱情结晶：美洲杯冠军梅西更新个人社媒晒和阿圭罗捧杯照', '手贴手，梅西晒出与阿圭罗共捧美洲杯冠军奖杯的照片', '13年前，我们一起在奥运会上为阿根廷赢得了金牌。...', '马斯切拉诺庆祝阿根廷夺冠：你们给我们带来了无限的快乐', '热热闹闹的阿根廷队更衣室，好久没见到梅西这么开心了', '梅西和阿圭罗过去和现在，两位好兄弟一起努力一起圆梦！', '我！们！是！冠！军！', '玫瑰来了！阿圭罗与梅西庆祝夺冠，并晒出2008年奥运夺金时刻', '阿圭罗直播夺冠后阿根廷更衣室庆祝，梅西光膀子对镜头飞吻', '罗梅罗：能参加决赛是幸运的；梅西等人一直帮助我适应团队', '阿圭罗：从未停止努力，从未停止相信，我们是冠军！', '互联网足球产业联盟合作伙伴'"
50442420,阿莱士-科利亚多,Álex Collado,"'记者：特林康离队，科利亚多将在下赛季升入一队顶替其位置', '巴萨B队20/21赛季五佳球：科利亚多任意球世界波领衔', '每体：收官战对阵埃瓦尔，科曼可能给巴萨B队小将登场机会', '【搬运】巴塞罗那B队球员：阿莱士-科利亚多集锦', '科曼：知道德容和梅西吃牌会错过德比，但现在不是休息的时候', '致敬梅西！巴萨B队队长科利亚多轰出无解左脚任意球世界波', '【巴萨B队新星科利亚多任意球世界波破门，助球队取...', '马卡：科利亚多得到了多特和桑普的关注，但他只想留在巴萨', '巴萨与科亚多续约巴塞罗那足球俱乐部今天下午宣布与...', '记者：科利亚多违约金升至1亿欧，下赛季他将进入巴萨一队', '官方：巴塞罗那与B队队长科利亚多续约至2023年', '记者：巴萨今夏会将乌姆蒂蒂、库鸟、皮夹等人放入转会市场', '巴萨B队的优秀球员中，拉波尔塔需要解决的续约问题...', '【这身段，这盘带，这左脚，我好像很熟悉啊、不过他...', '「搬运自YouTube 」巴塞罗那B队10号小将...', '记者：巴萨B队小将科利亚多被推荐给桑普，但遭到对方拒绝', '巴萨B队本赛季曾1-0击败科尔内利亚，巴萨一队90分钟内仅战平', '巴萨国王杯大名单：梅西停赛，德容轮休，多名小将入选', '科利亚多随巴萨一线队合练备战国王杯，停赛的梅西照常训练', '搬运，巴塞罗那新星：阿莱士-科利亚多2020集锦', '互联网足球产业联盟合作伙伴'"
50204709,奥斯曼-登贝莱,O. Dembélé,"'【欧洲杯出场时间惨不忍睹的大牌球星一览】安德烈-...', '开始备战新赛季，12名巴萨一队球员抵达训练基地', '过去10个赛季，每赛季的U23转会标王', '世体：巴萨球员参加欧洲杯为俱乐部共获得261.6万欧元补贴', '巴萨官方公告：保留对球员的内部追究权\xa0随着格里兹...', '巴萨官方就登贝莱&格列兹曼不当行为道歉：对种族歧视零容忍', 'Goal：格列兹曼已向乐天CEO道歉，重申自己没说话只是笑了笑', '乐天董事长向巴塞罗那提出严正抗议，看看日本网民都说了什么', '乐天董事长向巴萨提出严正抗议，看看日本球迷都说了些什么', '格列兹曼向日本乐天CEO道歉\xa0在格列兹曼和登贝莱...', 'RAC1：格列兹曼和登贝莱已向巴萨承认错误，并对行为感到后悔', '登贝莱与格列兹曼的道歉是否是“真道歉”，值得商榷', '乐天CEO：作为赞助商对巴萨球员言论感到遗憾，将正式抗议', '迫于压力登贝莱与格列兹曼公开进行道歉，但这道歉感觉不对劲', '吐槽个球丨登贝莱和格列兹曼为近期在网上曝光的巴萨...', '格列兹曼与登贝莱视频（含翻译）', '登贝莱、格列兹曼道歉：从不歧视任何人，向当事人致歉', '到底想不想续约？关于登贝莱的问题，你怎么看？', 'RAC1：巴萨相信登贝莱会续约，今夏将寻求出售格列兹曼', '德媒评多特离队球员最贵阵容：登贝莱和桑乔领衔', '互联网足球产业联盟合作伙伴'"
50105142,德佩,M. Depay,"'巴萨的答案？德佩VS摩纳哥高光时刻', '西媒：科曼计划巴萨下赛季的首发三叉戟是梅西+阿圭罗+德佩', 'Goal：德佩接受30%降薪，年薪为500万欧，巴萨最初报价700万', '吐槽个球丨巴萨新援德佩更新个人社交媒体账号，＂打...', '德转评夏窗转会球员最佳阵：阿什拉夫领衔，恰10、杜牧在列', '世体：巴萨球员参加欧洲杯为俱乐部共获得261.6万欧元补贴', 'Fashion | 去骑摩托艇！', '巴萨新援：德佩集锦点赞、关注、转发三连！', '巴萨需削减2亿欧元的工资，否则德佩、阿圭罗等人无法注册', 'Goal：巴萨薪资严重超出西甲工资帽，无法为梅西和新援注册', '科曼朋友：阿圭罗在巴萨不是替补，他会与梅西德佩搭档首发', '2021年进球+助攻榜：梅西参与46球居首，莱万38球第二', '欧洲杯俱乐部进球排行榜，尤文、国米、曼城排名前3', '范加尔激励荷兰女足：那些男足球星弱爆了，你们比他们强多了', '欧哥看球-德佩能够给巴萨带来什么，他能够在巴萨完成救赎么', '巴萨的完美选择？德佩风骚传球大赏', '这就是巴萨为什么想要德佩！', '丨足球图片丨《sport360》：欧洲杯8强全部...', '球星系列丨“荷兰杀星”—孟菲斯-德佩你不知道的那些事', '互联网足球产业联盟合作伙伴'"
50068505,布莱斯维特,M. Braithwaite,"'本届欧洲杯成功过人榜：斯特林18次居首，布莱斯维特第二', '布莱斯韦特否认其财富可入围福布斯 近期有消息传出...', '布莱斯维特：我是千万富翁的传言是假的，我还上不了福布斯榜', '布莱斯维特：感谢球迷的支持，我们有幸与整个丹麦分享美好', '欧洲杯表现出色，布莱斯韦特身价看涨\xa0虽然丹麦在欧...', '加泰电台：巴萨已经收到了一些英超球队给布莱斯维特的报价', '布莱斯韦特：我必须注意我说的话在丹麦队从欧洲杯被...', '布莱斯维特谈被判点球：我得小心自己说的话，我们当然很生气', '世体：巴萨球员参加欧洲杯为俱乐部共获得261.6万欧元补贴', '克亚尔：很抱歉一次美妙的冒险结束了；很失望没能走到决赛', 'TV3：布莱斯维特是千万富翁，他的财富能入围福布斯榜', '布莱斯韦特的天赐良机\xa0丹麦队在本届欧洲杯的表现仿...', '每体：不仅是球员，布莱斯维特在纽约拥有值2.5亿美元的房产', '布莱斯维特庆祝晋级：小国家，大梦想，离目标更近一步', '布莱斯维特随丹麦闯进欧洲杯半决赛，巴萨官方送祝贺', '马卡：为瓦伦补强锋线，博尔达拉斯想要引进布莱斯维特', '励志典型布莱斯维特：生命里没有什么不可能', '世体：布莱斯维特目前专注于欧洲杯，且只会因更好的报价离队', '布莱斯维特：我们是维京人，我们要去征服！', '铁锤帮主帅莫耶斯有兴趣签下丹麦国脚布莱斯维特', '互联网足球产业联盟合作伙伴'"
50064414,格列兹曼,A. Griezmann,"'斯特林等4名曼城球员同年拿欧冠和欧洲杯亚军，此前仅有2人', '每体速读:格列兹曼，何去何从按照此前巴萨主教练科...', '世体：格列兹曼想要留在巴萨，但也对转会持开放态度', '世体：西蒙尼和科曼均同意格列兹曼与萨乌尔互换', '每体：格列兹曼想要回到马竞，巴萨也收到了对他的其他报价', '转会丨接下来的几个小时对格列兹曼在巴塞罗那的未来...', '瓜迪奥拉联系格列兹曼 据法国门户网站Footme...', '梅西降薪续约后薪资低于C罗 西媒:梅西留格子必走', '世体：巴萨和马竞在商讨格列兹曼与萨乌尔互换的可能性', '记者：曼城有意格列兹曼，瓜迪奥拉已与球员电话沟通', '#梅西为留巴萨接受降薪一半# 零点电台记者阿尔弗...', '阿斯：鉴于巴萨的财政情况，若梅西续约，格列兹曼就必须得走', '科曼称不保证格列兹曼能留队你认为巴萨应该出售格列...', '科曼：只要梅西还没续约我们就应该担心，但我相信主席能解决', '吐槽个球丨在代表红蓝军团出战的总计99场比赛中，...', '英媒丨切尔西与巴塞罗那就引进格列兹曼进行了联系', '世体：巴萨球员参加欧洲杯为俱乐部共获得261.6万欧元补贴', '巴萨官方公告：保留对球员的内部追究权\xa0随着格里兹...', '马卡报：巴塞罗那正摆脱因丑闻缠身的格里兹曼据亚历...', '3场4球，凯恩欧洲杯淘汰赛进球仅次于格列兹曼', '互联网足球产业联盟合作伙伴'"
50468986,法蒂,Ansu Fati,"'安苏·法蒂无缘季前赛，将继续在马德里进行康复训练...', '加泰电台：法蒂将继续去马德里恢复，无缘参加巴萨季前备战', '法蒂无缘季前赛\xa0法蒂昨日接受了医疗检查，据加泰电...', '12名巴萨一线队球员归队备战新赛季，看看都有谁！', '开始备战新赛季，12名巴萨一队球员抵达训练基地', '阿斯：阿圭罗接受了巴萨替补前锋的角色，新赛季法蒂会首发', '世体：巴萨不期望法蒂赶上西甲首战，希望球员能完全恢复', '深度剖析--为什么西班牙锋无力了？', '世体：法蒂术后恢复十分顺利，但具体复出日期还未确定', '马卡：法蒂已获得队医许可，能够在7月12日开始随队合练', '法蒂告别德拉富恩特：好运兄弟，希望未来还能做队友', '记者：法蒂恢复顺利，有望参加巴萨季前训练营', '法蒂---巴萨又一位天才新星！', '法蒂---巴萨进球助攻全纪录！', '大赛的表现，决定了他们离金球奖的距离本届欧洲杯会...', '埃里克-加西亚：我很感激恩里克对我的信任；法国是夺冠热门', '吐槽个球丨法蒂VS阿诺德的新发型，谁更胜一筹？', '世体：法蒂不会急于回归，只有恢复到100%时才会复出', '新球衣，新发型，新赛季！法蒂这个脏辫发型，能够打...', '互联网足球产业联盟合作伙伴'"
50043882,布斯克茨,Busquets,"'世体：巴萨给梅西放假三周，预计在甘伯杯对阵尤文时回归', '世体：巴萨球员参加欧洲杯为俱乐部共获得261.6万欧元补贴', '阿斯皮利奎塔：布斯克茨最可能会成为未来国家队主教练！', '记者：阿尔巴和布斯克茨已回到巴塞罗那，他们将先享受假期', '费迪南德：布斯克茨掌控了比赛；2011年欧冠决赛曾被他嘲讽', '西班牙虽败犹荣，但整装待发后的前路并非一片坦途', '西班牙止步欧洲杯四强，布斯克茨个人社交媒体发布短文', '布斯克茨：我认为我们表现更好，但这就是足球', '两位队长的交流！', '扎卡尔多：意大利今天是热门的一方，但要小心莫拉塔', '“球盲过滤器”的最后一役？布斯克茨：“我的想法是...', '西班牙首发预测：加西亚和奥尔莫出战，莫拉塔继续领衔锋线', '明格萨：梅西总有一天会离开巴萨；布斯克茨下个点球会进的', '岁月不饶人，众老将踏上欧洲杯最后一程', '布斯克茨：多给梅西些时间，他会留下\xa0布斯克茨在接...', '布斯克茨：这是我参加的最后一届欧洲杯；恩里克是顶级教练', '布斯克茨：相信拉波尔塔会留下梅西；意大利是夺冠热门', '巴雷拉：西班牙王朝令人赞叹，希望我们能做得跟他们一样好', '布斯克茨：暂时不会去美国\xa0据天空体育的记者报道，...', '互联网足球产业联盟合作伙伴'"
