id,name,english_name,news_titles
50186758,塞瓦内,G. Seoane,"'药厂新帅塞瓦内：希克是顶级前锋，进球能力令人难以置信', '图片报：药厂新帅塞瓦内已经抵达勒沃库森', '踢球者：请塞瓦内执教，勒沃库森付的赔偿款比预想多100万', '官方：伯尔尼年轻人主帅塞瓦内将在新赛季执教勒沃库森', '德媒：伯尔尼年轻人主帅塞瓦内将与药厂签约2年，周三宣布', '天空体育：多特临时主帅泰尔齐奇将执教法兰克福', '图片报：泰尔齐奇和塞瓦内是法兰克福新帅的热门人选', '踢球者：法兰克福还没定新帅，确实在考虑多特主帅泰尔齐奇', '图片报：法兰克福可能会选年轻人主帅塞瓦内接班许特尔', '德媒：德甲六队没定下赛季主帅，有三队想要年轻人主帅塞瓦内', '德媒：伯尔尼年轻人主帅塞瓦内可能执教勒沃库森', '德媒：格拉斯纳可能离队，狼堡考虑塞瓦内、孔茨和泰尔齐奇', '新希斯菲尔德？欧联杯半场打懵药厂，伯尔尼主帅引来德甲关注', '罗泽出走，谁会接任门兴下一任主帅？', '图片报：伯尔尼年轻人主帅塞瓦内是门兴新帅热门人选', '德媒：门兴认为罗斯会离开，关注伯尔尼年轻人主教练', '伯尔尼主帅：执教罗马？现在讨论这种事情不合适', '伯尔尼主帅：罗马是欧冠级别的球队，我们的目标是小组第二', '踢球者：霍芬海姆选帅，有意拜仁二队主帅赫内斯', '塞瓦内：尤文处在另一个级别', '互联网足球产业联盟合作伙伴'"
50536617,阿尔韦托-恩西纳斯,Alberto Encinas,"'勒沃库森官方：巴萨U19助教恩西纳斯出任一线队助教', '互联网足球产业联盟合作伙伴'"
50172787,希克,P. Schick,"'4场比赛5粒进球，C罗最终位列射手榜首位，获得本...', '4场打进5球，C罗当选本届欧洲杯最佳射手', '本届欧洲杯直接参与4粒进球，卢克-肖排名仅次C罗、希克', '希克：欧洲杯场均一球，捷克神锋新诞生', '怎么踢出欧洲杯最佳进球？', '吐槽个球丨正在进行的欧洲杯和美洲杯，在这个夏天为...', '希克--捷克锋霸的崛起之路 从迷失罗马到涅槃重生', '意媒：在欧洲杯发挥出色，热刺和埃弗顿都有意引进希克', '欧洲杯最新射手榜：C罗5球依旧领跑，斯特林、凯恩3球', '四年前惨遭尤文退货的希克，如今还有机会重披豪门战袍吗？', '单届欧洲杯进球5+，希克成历史第9人', '欧洲杯1/4决赛最佳进球候选：多尔贝格进球+滑跪致敬伊布在列', '「足球智商」第17期：进攻纪律性保障，小球队也有...', '你书里的剧情，我不想上演', '剑南春丨欧洲杯战报：丹麦2-1捷克晋级四强，希克破门难救主', '欧洲杯俱乐部进球排行榜，尤文、国米、曼城排名前3', '欧洲杯得分王，希克复制前辈历史？', '欧洲杯红黑榜：没有输家的夜晚 比起进球我们更看到一份感动', '勒沃库森称赞希克：5场5球，强势表现', '互联网足球产业联盟合作伙伴'"
50123032,阿拉里奥,L. Alario,"'西媒：塞维利亚想要药厂前锋阿拉里奥', '苦涩，勒沃库森前锋阿拉里奥因伤缺席奥运会', '图片报：勒沃库森不放维尔茨和迪亚比参加奥运会', '阿根廷官方公布美洲杯最终名单：梅西领衔，阿拉里奥被替换', 'TyC：阿根廷将在周五正式发布美洲杯名单，仍有变动可能', 'TyC：阿根廷将在明日公布美洲杯名单，仍在等待阿尔马尼情况', '阿媒：河床想租回勒沃库森前锋阿拉里奥', '德媒：勒沃库森今夏将有超过八位球员离队', '踢球者：为避免明年自由转会离队，药厂想和阿拉里奥续约', '大腿肌腱受伤，勒沃库森头号射手阿拉里奥将伤停八周', '勒沃库森生涯新高，阿拉里奥本赛季打进15球', '勒沃库森3-1法兰克福，利昂-贝利传射，阿拉里奥替补建功', '勒沃库森2-1沙尔克，阿拉里奥、希克建功，亨特拉尔破门', '德甲生涯首次，阿拉里奥单赛季进球上双', '勒沃库森2-2美因茨遭绝平，格拉策尔、斯托格建功', '体图：利昂-贝利和阿拉里奥可能今夏离开勒沃库森', '踢球者德甲半程前锋评级：莱万和哈兰德世界级', '勒沃库森0-1沃尔夫斯堡，阿拉里奥造险，斯特芬助攻鲍库破门', '追平上赛季，阿拉里奥本赛季已经打进12球', '勒沃库森4-1法兰克福晋级德国杯16强，穆萨-迪亚比梅开二度', '互联网足球产业联盟合作伙伴'"
50104389,波赫扬帕洛,J. Pohjanpalo,"'欧洲杯前两轮俱乐部进球数：尤文5球领先，药厂和国米4球', '德媒：比勒费尔德想要芬兰国脚波赫扬帕洛', '芬兰中卫阿拉尤里：进球被吹影响了我们的士气', '欧洲杯首轮过后各俱乐部进球数：药厂和国米各3球，并列榜首', '欧洲杯首轮比赛结束，德甲和意甲球员进球并列最多', '足球的魅力远不止输赢！埃里克森现已经苏醒，我们为...', '德甲球星闪耀，恩博洛、韦格霍斯特等德甲球星闪耀欧洲杯', '虽然这是芬兰队史首粒欧洲杯进球但他还是选择给予对...', '1980年至今，芬兰是大赛中唯一一支单场1次射门并赢球的球队', '剑南春丨欧洲杯战报：丹麦0-1芬兰，埃里克森情况恢复稳定', '创造历史，波赫扬帕洛打进芬兰在欧洲杯决赛圈的首粒进球', '波赫扬帕洛禁区里头槌破门，芬兰攻入队史欧洲杯正赛首粒进球', '#芬兰欧洲杯历史首球# 第60分钟，芬兰反击，普...', '历史性时刻，但波赫扬帕洛拒绝庆祝。致敬！', '芬兰国脚波赫扬帕洛20-21赛季集锦', '波赫扬帕洛：我不必去担心伤病，全力准备欧洲杯', '德媒：勒沃库森今夏将有超过八位球员离队', '芬兰欧洲杯大名单：普基领衔，赫拉德茨基在列', '勒沃库森1-1柏林联合，维尔茨破门，波赫扬帕洛扳平', '踢球者德甲本轮最佳阵容：阿坎吉在列，哈兰德无缘', '互联网足球产业联盟合作伙伴'"
50055740,贝拉拉比,K. Bellarabi,"'官方：勒沃库森边锋贝拉拉比因为肌肉伤势将缺席两周', '踢球者：维尔茨和贝拉拉比等多名球员有望踢多特时复出', '踢球者：贝拉拉比受伤后，勒沃库森考虑冬窗引援', '恭喜，勒沃库森边锋贝拉拉比孩子出生', '欧联杯本轮最佳阵容：大卫-路易斯领衔，久保建英入选', '各项赛事过人纪录盘点：内马尔单场18次居首', '赫拉德茨基怒喷贝拉拉比：那个犯规是狗屎，他自己知道这一点', '踢球者德甲半程边锋评级：格纳布里和科曼领衔洲际级', '官方：勒沃库森与边锋贝拉拉比续约至2023年', '勒沃库森主帅博斯：贝拉拉比可能赛季报销', '德米尔拜造3球，勒沃库森3-0第4级球队晋级德国杯决赛', '经纪人：贝拉拉比在勒沃库森很开心，但也可能寻求新的挑战', '贝拉拉比：我在勒沃库森已经差不多10年，希望长留这里', '贝拉拉比：空场不会影响球队的意志；能恢复训练已经很奢侈', '沃勒尔：对贝拉拉比的表现非常满意；正在和他进行续约谈判', '费加罗报评世界最快球员：姆巴佩居首，纳乔进前十', '德媒称赞：勒沃库森状态出色，有望在两项杯赛中冲击冠军', '药厂主帅博斯：迪亚比和贝拉拉比给我们带来了速度和冲击力', '博斯：弗兰德没大事；早晨还在谈昨天的比赛，两天后又要出战', '贝拉拉比：很感谢勒沃库森，希望能够长留这里', '互联网足球产业联盟合作伙伴'"
50245873,利昂-贝利,L. Bailey,"'记者：米兰有意引进勒沃库森边锋贝利，已询问相关信息', '德媒：多特蒙德有意勒沃库森边锋贝利和迪亚比', '牙买加媒体：寻找桑乔接班人，多特盯上药厂边锋利昂-贝利', '本赛季欧联杯官方最佳阵容：赫拉德-莫雷诺领衔，B费入选', '德媒：勒沃库森今夏将有超过八位球员离队', '沃尔夫：恭喜我的好朋友泰尔齐奇，多特配得上成为德国杯冠军', '20/21赛季，欧洲五大联赛边锋数据TOP10', '德甲官网赛季最佳阵候选：莱万和哈兰德领衔，日本3球员入选', '【搬运】勒沃库森球员：利昂-贝利20-21集锦', '踢球者德甲本轮最佳阵容：阿坎吉在列，哈兰德无缘', '打出两双，利昂-贝利单赛季直接参与25球', '勒沃库森3-1法兰克福，利昂-贝利传射，阿拉里奥替补建功', '踢球者德甲本轮最佳阵容：哈兰德领衔，穆夏拉和雷纳入选', '勒沃库森3-0科隆，利昂-贝利梅开二度，穆萨-迪亚比传射建功', '利昂·贝利：这个贝利有点虎！', '每日报盘点：热刺若失去贝尔后，会买来替代他的5大目标边锋', '足坛流言板｜援引英媒《每日快报》的爆料，勒沃库森...', '记者：曼联在冬窗与利昂-贝利的经纪人有过谈判', '英媒：曼联有意签下勒沃库森边锋贝利，他们在争夺战中领跑', '勒沃库森1-2弗赖堡近九场仅一胜，霍勒传射，利昂-贝利破门', '互联网足球产业联盟合作伙伴'"
50202772,格雷,Demarai Gray,"'记者：罗马有意今夏引进勒沃库森边锋格雷，解约金仅200万欧', '大决战：多特蒙德 vs 勒沃库森！EA 今日公布...', '德甲球员身价跌幅榜：扎卡里亚下滑800万欧居首，托利索在列', '瓦曼吉图卡VS格雷，你更好看好谁？附两张超清大图...', '德甲官方采访格雷 前英超冠军、妈宝男加盟药厂做“赘婿”？', '格雷：我需要离开舒适区勒沃库森冬窗从莱斯特城签下...', '药厂格雷：福苏-门萨、桑乔建议我来德甲；会永远铭记莱斯特', '立竿见影，格雷在勒沃库森首秀替补破门', '勒沃库森5-2斯图加特，德米尔拜、卡拉伊茨双响，贝利传射', '勒沃库森欧联淘汰赛大名单：门萨在列，鲍姆加特林格因伤落选', '德转列德甲冬窗引援身价最高阵容：约维奇和索博斯洛伊领衔', '官方：勒沃库森签下格雷，双方签约一年半', '天空体育：勒沃库森即将官宣签下格雷，转会费200万英镑', '据知名记者邓肯·卡斯特尔斯个人媒体表示，莱斯特城...', '斯基拉：勒沃库森已经敲定格雷', '迪马济奥：格雷已经到德国，即将转会勒沃库森', '天空体育：勒沃库森对签下格雷越来越有信心', '天空体育：勒沃库森有信心在24小时内签下格雷', '斯基拉：水晶宫也想要格雷，但勒沃库森在竞争中领先', '天空体育：格雷与勒沃库森达成协议', '互联网足球产业联盟合作伙伴'"
50527755,盖迪克利,E. Gedikli,"'勒沃库森官方：青训前锋盖迪克利签下职业合同', '互联网足球产业联盟合作伙伴'"
50494525,萨梅德-奥努尔,S. Onur,'互联网足球产业联盟合作伙伴'
50402550,穆萨-迪亚比,M. Diaby,"'德媒：多特蒙德有意勒沃库森边锋贝利和迪亚比', '图片报：勒沃库森不放维尔茨和迪亚比参加奥运会', '德转评U21欧青赛1/4决赛最贵阵：卡马文加领衔，法国八人在列', '高卢雄鸡从来不缺少青年才俊', '德甲官方本赛季U21球员TOP10：哈兰德、穆夏拉、贝林厄姆领衔', '德媒：如果桑乔离队，多特有意穆萨-迪亚比等6人作为替代者', '德媒：多特想签勒沃库森边锋迪亚比、摩纳哥中场福法纳', '德媒：埃弗顿想要勒沃库森攻击手迪亚比，已经联系经纪人', '尚未代表国家队出场球员身价榜：孔德居首，拉波尔特第二', '20/21赛季，欧洲五大联赛边锋数据TOP10', '勒沃库森3-0科隆，利昂-贝利梅开二度，穆萨-迪亚比传射建功', '德甲U21球员最贵阵：哈兰德、桑乔领衔，总身价近5亿欧', '德转评未代表国家队出场球员最贵阵：孔德领衔，拉波尔特在列', '未代表国家队出场球员身价排行：孔德居首，法国球员占据前三', '德天空体育：多特拜仁枪手都在关注药厂边锋迪亚比', '21岁球员身价排行：桑乔1亿欧领衔，菲利克斯列次席', '阿斯报：皇家马德里在关注勒沃库森边锋迪亚比', '阿斯报：皇马有意勒沃库森边锋迪亚比', '每日报盘点：热刺若失去贝尔后，会买来替代他的5大目标边锋', '青训球员流失，巴黎青训多名青年天才加盟德甲', '互联网足球产业联盟合作伙伴'"
50397900,保利尼奥,Paulinho,"'图片报：勒沃库森不放维尔茨和迪亚比参加奥运会', '罗尔费斯谈勒沃库森争四机会：足球的世界里永远没有不可能', '德转盘点巴西21岁及以下球员身价：维尼修斯5000万欧居首', '德转评德甲U21最贵阵容：多特六将入选，阿芳和夸西在列', '金童奖60人名单：哈兰德、桑乔领衔，贝林厄姆、佩德里入选', '德转18岁及以下最贵转会排名，皇马巴西双子星前二，C罗第16', '德甲U20球员转会费排名：雷纳托-桑切斯第一，贝林厄姆第三', '德转评德甲U20最佳阵容：哈兰德、桑乔和阿方索-戴维斯领衔', '金童奖80人名单出炉：哈兰德&桑乔领衔，格林伍德在列', '博斯：保利尼奥已经成功接受手术，他的情况一切顺利', '官方：勒沃库森边锋保利尼奥右十字韧带撕裂，无缘德国杯决赛', '记者：朗尼克在德甲有5个目标，其中包括阿米里和保利尼奥', '2020年金童奖百人名单出炉：哈兰德领衔，桑乔、戴维斯入选', '全市场：小保利尼奥被推荐给意甲两队，要价可能低于3000万欧', '时间虽短，精彩依旧！德甲三月最佳进球候选，你会给谁投票？', '踢球者德甲周最佳：蒂亚戈、胡梅尔斯和哈弗茨领衔', '勒沃库森主帅博斯：一周双赛取得两连胜，这不容易', '小保利尼奥德甲首发首秀梅开二度，创造勒沃库森队史纪录', '巴西公布国奥队大名单：维尼修斯、马丁内利领衔，雷尼尔在列', '博斯：赢多特的狂喜不能继续放在心上；柏林联合是不同的对手', '互联网足球产业联盟合作伙伴'"
50553277,弗洛里安-维尔茨,F. Wirtz,"'海帅：克罗斯在巅峰退出国家队；德国已经没有顶级后卫和前锋', '维尔茨---德转2021年金童奖候选球员第六名！', '图片报：弗里克执教德国后，穆夏拉和维尔茨有望得到更多机会', '药厂新星维尔茨晒度假照，拜仁官方点赞', '药厂新星维尔茨穿着拜仁球衣训练，背后的故事原来是这样', '金童奖候选球员身价榜：佩德里7000万欧居首，萨卡列次席', '图片报：勒沃库森不放维尔茨和迪亚比参加奥运会', '德甲身价排名：哈兰德1.3亿欧居首，桑乔次席，基米希第三', '图片报喊话勒夫：可以考虑欧洲杯前补招维尔茨和鲍库', '德媒：拜仁、多特和其他联赛顶级球队都在关注维尔茨', '德国足球升起新星：弗洛里安-维尔茨正在U-21欧洲杯闪耀', '懂球帝一周十佳球：福斯贝里电梯球，达尼-莫塔倒挂金钩', '德国U21欧青赛夺冠！他们之中谁能成为弗利克的新兵？', '欧青赛对阵荷兰梅开二度，维尔茨当选该场比赛队内最佳球员', '哈弗茨：维尔茨很了不起，他其实也配得上来国家队踢欧洲杯', '维尔茨：相比考好成绩更想拿欧青冠军；我一直穿梅西球衣睡觉', '开场29秒破门，勒沃库森新星维尔茨刷新欧青赛最快进球纪录', '淘汰荷兰U21，孔茨率德国U21出战三届欧青赛都打进决赛', '德国U21精妙团队配合，开场仅30秒闪击对手', '#u21欧青赛#【4500万欧刚成年天才2球!德...', '互联网足球产业联盟合作伙伴'"
50235274,帕拉西奥斯,E. Palacios,"'斯卡洛尼提前公布战玻利维亚首发：梅西领衔，阿圭罗出战', '阿根廷官方公布美洲杯最终名单：梅西领衔，阿拉里奥被替换', '阿根廷美洲杯28人正式名单：梅西、阿圭罗领衔，劳塔罗在列', '勒沃库森官方：阿根廷国脚帕拉西奥斯内收肌受伤，无缘美洲杯', '德甲球员身价跌幅榜：扎卡里亚下滑800万欧居首，托利索在列', '帕拉西奥斯河床/阿根廷国家队集锦', '图片报：勒沃库森新援门萨结束隔离，首次参加球队合练', '官方：腰椎横突骨折，阿根廷国脚帕拉西奥斯将伤缺3个月', '阿根廷官方：帕拉西奥斯遭遇重伤，左侧腰椎横突骨折', 'TyC：右腿不适，阿库尼亚可能不会出战玻利维亚', '阿根廷公布世预赛初选名单：梅西、迪巴拉领衔，阿圭罗缺阵', '进步神速！德甲球员FIFA数据值提升幅度TOP10，猜猜谁第一？', 'TyC披露阿根廷大名单：梅西、阿圭罗、劳塔罗领衔', '艺术家大比拼！德甲中场FIFA数据排名TOP10，猜猜谁第一', '解放者杯决赛染红，不影响帕拉西奥斯代表药厂踢波尔图', '勒沃库森新援：很欣赏比达尔和克罗斯之前在这里的表现', '勒沃库森更新欧联杯大名单：帕拉西奥斯、塔普索巴入选', '博斯：输给霍村是个打击；塔普索巴和帕拉西奥斯还需要时间', '柏林赫塔花费6400万镑，包揽德甲冬窗最贵引援前两位', '互联网足球产业联盟合作伙伴'"
50189811,阿米里,N. Amiri,"'德国国奥名单：超龄球员克鲁泽领衔，阿米里在列', '踢球者：克鲁泽和施廷德尔有望作为超龄球员参加奥运会', '德媒：飞铲阿米里，不莱梅前锋迪恩克吉被禁赛三场', '勒沃库森球员阿米里专访在第一次接触足球运动的地方...', '勒沃库森后卫塔：原本对欧联杯有更多期待，我们必须要反省', '勒沃库森官方：阿米里新冠检测结果呈阳性', '踢球者德甲半程攻击型中场评级：世界级空缺，穆勒洲际级', '涉嫌种族歧视阿米里，柏林联前锋托伊歇特将接受德国足协调查', '德甲12月最佳球员候选名单：莱万和穆勒领衔', '预订普斯卡什奖候选？阿米里炫酷进球', '懂球帝一周十佳球：阿米里天秀神进球，阿森纳美丽足球', '听说已经有人开始预订年度最佳进球了', '热刺重回榜三，德甲再现博格坎普式转身，科曼德佩梦碎？', '勒沃库森阿米里，这记博格坎普式进球提前预订普斯卡...', '致敬冰王子！药厂核心阿米里潇洒停球转身+灵巧脚后跟破门', '法兰克福2-1勒沃库森，尤尼斯、镰田大地建功', '超过去3个赛季总和，阿米里本赛季送出8次助攻', '榜首大战即将打响，药厂中场阿米里：拜仁也是可以被击败的', '效率出色，阿米里本赛季15次出场直接参与9球', '官方：勒沃库森后卫塔普索巴结束隔离，重回训练', '互联网足球产业联盟合作伙伴'"
