id,name,english_name,news_titles
50075289,加斯佩里尼,G. Gasperini,"'五大联赛在位主帅执教时间排行：西蒙尼列第二，渣叔瓜帅在列', '戈森斯：我的进攻能力要感谢加斯佩里尼；欧洲杯之后再谈未来', '打进全场唯一进球，佩西纳：这样的比赛此前只存在于我的梦里', '图片报：巴萨和米兰想要戈森斯，不排除他会与亚特兰大续约', '穆勒嫌他被换下太早，戈森斯：出色的60分钟好过糟糕的90分钟', '共和报：阿莱格里和孔蒂都很难重返尤文执教', '意媒：尤文高层正在评估邀请加斯佩里尼执教的可行性', '意甲收官战亚特兰大0-2米兰，以联赛第三结束本赛...', '斯基拉：很多球队有意请加斯佩里尼，但他会继续执教亚特兰大', '意媒：加斯佩里尼是皮尔洛接班人之一', '加斯佩里尼谈意甲争四：他人的命运与我们无关', '加斯佩里尼：结果令人失望，我们对裁判不满意', '加斯佩里尼：我们将会竭尽全力去对阵米兰，争取赢下意甲亚军', '皮尔洛：球队非常渴望拿下意杯冠军；博努奇的膝盖扭伤了', '意媒分析本赛季意甲主帅留任的可能性：孔蒂80%、皮尔洛30%', '亚特兰大主席：我们会与加斯佩里尼续约，并努力补强球队', '加斯佩里尼：脚踏实地继续向前冲，因为我们还没有实现目标', '意媒：加斯佩里尼不会因为干扰药检被禁赛', '意媒：尤文下赛季的方案是请阿莱格里或加斯佩里尼执教', '暗示留队，穆里尔：想要继续把亚特兰大带到更高的高度', '互联网足球产业联盟合作伙伴'"
50388351,格里蒂,T. Gritti,'互联网足球产业联盟合作伙伴'
50179846,卡韦萨斯,B. Cabezas,"'官方：埃梅莱克续租亚特兰大边锋卡韦萨斯', '官方：巴甲球队租亚特兰大边锋', '官方：意乙球队租亚特兰大边锋', '互联网足球产业联盟合作伙伴'"
50058526,穆里尔,L. Muriel,"'都体：亚特兰大也有意签贝洛蒂，但前提是萨帕塔或穆里尔离队', '攻城锤！萨帕塔碾压式突破造威胁，穆里尔几乎面对空...', '亚特兰大神射手！穆里尔20/21赛季26球全记录', '错失良机！萨帕塔劲射被扑，穆里尔补射打飞', '美洲杯预测：巴西胜委内瑞拉，由于委内瑞拉球员和教...', '打UFC吗？奥塔门迪禁区内肘击送点，穆里尔点球一蹴而就', '哥伦比亚2-2阿根廷 博尔哈补时绝平', '马利诺夫斯基：C罗不是最强的，意甲有很多球员都比他强得多', '都体：马竞的代表正在米兰谈劳塔罗的转会，国米要至少9000万', '冠绝意甲，穆里尔今年以来在联赛中独造22球', '亚特兰大vs米兰首发预测：穆里尔搭档萨帕塔，莱奥单箭头', '亚特兰大战米兰大名单：穆里尔和萨帕塔领衔，哈特鲍尔缺阵', 'FIFA21意甲赛季最佳15人：C罗领衔，劳卢组合、特奥入选', '加斯佩里尼：结果令人失望，我们对裁判不满意', '哥伦比亚世预赛大名单：J罗领衔，中超外援金特罗入围', '亚特兰大公布意大利杯决赛大名单：萨帕塔和穆里尔领衔', '欧洲金靴榜排名：莱万第一，梅西和C罗分列二三', '路易斯·穆里尔值得关注！', '亚特兰大2-0贝内文托，穆里尔、帕萨利奇分别建功', '互联网足球产业联盟合作伙伴'"
50052510,伊利契奇,J. Iličić,"'米体：拉齐奥和米兰对伊利契奇感兴趣，但他没有收到任何报价', '意媒：亚特兰大签波贝加受阻，米兰想从交易中得到伊利契奇', '都体：米兰问价伊利契奇，亚特兰大要求将波贝加放入交易中', '拉齐奥中前场引援目标一览', '斯基拉：伊利契奇今夏可能离队，亚特兰大有意萨索洛前锋博加', '谈判进展顺利，萨里要求洛蒂托购买五名新援', '米体：萨里想要的五个人，从希萨伊、南德斯到博雷', '都体：米兰不想为伊利契奇花费超过700万欧元', '意媒：AC米兰有意签下伊利契奇和佩西纳', '意媒：米兰、拉齐奥正逐伊利契奇，亚特兰大为其标价1000万欧', '米体：如果恰10离队米兰首选伊利契奇，拉齐奥也对球员感兴趣', '意媒展望重回欧冠赛场的米兰在今夏的转会', '都体：米兰考虑恰10替代者，伊利契奇、姆希塔良、德保罗上榜', '替补席抱怨判罚染红，托洛伊遭意大利杯赛停赛两场', '迪马济奥：米兰可能引进伊利契奇作为恰尔汗奥卢的替代者', '【搬运】亚特兰大球员：约瑟普-伊利契奇20-21集锦', '伊利契奇社媒更新，是在暗示什么吗？', '亚特兰大vs萨索洛五大经典比赛：3-1逆转首进欧冠领衔', '2018/19赛季亚特兰大客场6-2大胜萨索洛，...', '【讨论】：最近几天传的比较多的五笔转会，说说看，...', '互联网足球产业联盟合作伙伴'"
50023783,杜万-萨帕塔,D. Zapata,"'都体：亚特兰大也有意签贝洛蒂，但前提是萨帕塔或穆里尔离队', '险些破门！哥伦比亚队左右两路连续进攻，萨帕塔头球...', '水牛爆射！萨帕塔前场转换快攻射门，穆斯莱拉一夫当...', '美洲杯各队身价最高的球员内马尔1亿（巴西）、梅西...', '水牛！萨帕塔扛着后卫一路狂飙，射门太正错失机会', '错失良机！萨帕塔劲射被扑，穆里尔补射打飞', '不走运，本泽马是本赛季欧冠击中门框次数最多的球员', '亚特兰大vs米兰首发预测：穆里尔搭档萨帕塔，莱奥单箭头', '亚特兰大战米兰大名单：穆里尔和萨帕塔领衔，哈特鲍尔缺阵', '哥伦比亚世预赛大名单：J罗领衔，中超外援金特罗入围', '亚特兰大公布意大利杯决赛大名单：萨帕塔和穆里尔领衔', '56球，萨帕塔追平亚特兰大队史外籍球员意甲进球纪录', '亚特兰大4月五佳球，哥伦比亚双枪、马利诺夫斯基领衔', '欧超联赛的对立面，亚特兰大全队顶薪只有180万欧元', '亚特兰大5-0博洛尼亚，穆里尔传射，萨帕塔、米兰丘克破门', '12次，梅西和本泽马是本赛季中框次数最多的五大联赛球员', '意媒：罗马有意引进萨帕塔，亚特兰大要价至少5000万欧', '4人至少助攻7次，五大联赛只有亚特兰大和拜仁两家', '罗马诺：阿森纳没接触萨帕塔，亚特兰大要价不会低于4500万欧', '【德转】阿森纳有意签下亚特兰大射手杜万-萨帕塔，...', '互联网足球产业联盟合作伙伴'"
50226842,特米勒罗,M. Tumminello,"'官方：斯帕尔租借亚特兰大前锋特米勒罗', '官方：佩斯卡拉租借亚特兰大前锋特米勒罗', '官方：意乙莱切从亚特兰大租借意大利U21国脚特米勒罗', '官方：亚特兰大签下罗马前锋', '去亚特兰大，罗马前锋周五体检', '600万，亚特兰大要签罗马前锋', '迪马济奥：亚特兰大要罗马前锋', '懂球帝一周十佳球：联赛收官日，好球进行时', '那不勒斯2-1克罗托内，后者降入意乙联赛，因西涅两助攻', '互联网足球产业联盟合作伙伴'"
50189340,卢卡-维多,L. Vido,"'官方：比萨续租亚特兰大两将维多和瓦尔尼耶', '官方：意乙比萨租借亚特兰大前锋维多', '官方：佩鲁贾租借亚特兰大前锋', '官方：亚特兰大外租意U21国脚', '互联网足球产业联盟合作伙伴'"
50504698,科利,E. Colley,"'都体：亚特兰大接近签下博洛尼亚后卫富安健洋', '维罗纳2-1送帕尔马十三轮不胜，迪马尔科传射，库茨卡破门', '剑南春丨意甲战报：罗马3-1维罗纳，曼奇尼、马约拉尔建功', '官方：维罗纳租借亚特兰大前锋科利', '官方：维罗纳先租后买签下亚特兰大锋线新星科利', '意媒：维罗纳接近签下亚特兰大前锋科利和斯帕尔后卫托莫维奇', '迪马济奥：跟帕尔马抢，维罗纳也想要亚特兰大小将科利', '意媒：帕尔马接近先租后买亚特兰大中场新星梅莱戈尼', '意媒：帕尔马敲定亚特兰大新星科利，准备一同签下特拉奥雷', '寻找新库卢，佩杜拉：帕尔马接近签下亚特兰大中场新星科利', '亚特兰大小将科利：我的偶像是卡卡；在亚特兰大有家的感觉', '互联网足球产业联盟合作伙伴'"
50486172,皮科利,R. Piccoli,"'救主，海于格是本赛季意甲替补登场至少进2球第二年轻的球员', '意媒：米兰和尤文都曾试图签下亚特兰大新星皮科利', '斯佩齐亚2-1卡利亚里，皮科利破门，若昂-佩德罗绝平球被吹', '亚特兰大3-1斯佩齐亚，帕萨利奇梅开二度、穆里尔建功', '意天空：尤文图斯曾尝试先租后买亚特兰大新星皮科利', '罗马4-3险胜斯佩齐亚。斯佩齐亚从亚特兰大租借的...', '攻破国米球门，斯佩齐亚新星：我的偶像是维埃里和伊布', '攻破国米球门，亚特兰大外租新星皮科利取得意甲联赛处子球', '剑南春 | 意甲战报：国米2-1斯佩齐亚，阿什拉夫、卢卡库建功', '应对疫情影响，意大利U21征召两支球队备战欧青赛资格赛', '官方：斯佩齐亚租借亚特兰大新星皮科利', '意天空：斯佩齐亚已经租借亚特兰大两将马蒂耶罗和皮科利', '迪马济奥：意甲升班马斯佩齐亚租借亚特兰大两将', '足球市场：曼城想要亚特兰大新星皮科利', '互联网足球产业联盟合作伙伴'"
