article_id,url,title,author,time,content,tags,img_url
2117962,https://dongqiudi.com/articles/2117962.html,欧洲杯：英格兰55年终在世界大赛再胜德国，德劳内杯在招手,欧皇足球篮球分析官,07-02 06:18,"['欧洲杯淘汰赛已经结束了8强战的所有争夺，英格兰也在和德国的对决中依仗着斯特林和凯恩的先后进球2：0击败对手，拿下一场关键胜利。这场比赛也让不少英格兰球迷开心到飞起，因为这是自从1966年以来，三狮军团首度在世界大赛的舞台上淘汰日耳曼战车，也是为球队狠狠出了一口恶气。', '作为全世界最好的足球球队之二，英格兰和德国一直都是世界顶级球队，而且英格兰还是足球的发源地，因此两队也多次在各种场合碰面。但让不少英格兰球迷尴尬地是，相比较于德国队4次拿下世界杯冠军以及三次欧洲杯冠军荣耀在身，英格兰除了1966年在本土拿到世界杯冠军之外，他们的荣誉簿上则是空空如也，尤其是在欧洲杯上，球队不仅一次没有夺冠过，甚至连一次四强都没有进过。', '而德国队则是英格兰队史最大苦主球队，尽管1966年的世界杯冠军就是在德国人头上拿下地。但从1970年之后的每届大赛英格兰都很难在德国战车头上拿到过胜利，70年被让二追三、72年欧洲杯被淘汰、90年的世界杯半决赛以及92年欧洲杯半决赛，以及10年8强战，英格兰也是一次又一次地倒在了德国战车面前，也是让不少英格兰球迷有些抬不起头。', '因此本场比赛之前，很多德国名宿也是对德国晋级充满了信心，甚至不少人狂妄地说出了虽然德国队踢的很烂，但应付英格兰还是绰绰有余地。此外英格兰的传奇前锋莱因克尔也曾无奈地表示，足球就是22个人围着一个皮球跑满90分钟，最后由德国人赢下比赛的游戏。虽然有些玩笑意味，却也证明了他们面对德国时的无奈。', '不过这次斯特林和凯恩却不想再继续这样的命运，尽管凯恩在上半场比赛就射失了一个关键单刀进球。但下半场比赛先是斯特林接到卢克肖的传中抢点破门完成得分，之后穆勒错失关键机会之后，凯恩用一记头球轻扫把皮球顶进了球门当中。', '这场胜利也是英格兰时隔55年后又一次在淘汰赛上战胜德国队，也是他们队史最关键的一场胜利。期待他们也能凭借着这场胜利，开启球队接下来的疯狂之旅，也帮助英格兰拿下队史首座欧洲杯冠军奖杯。']","['英格兰', '德国', '托特纳姆热刺', '哈里-凯恩', '哈弗茨']",https://xyimg1.qunliao.info/fastdfs6/M00/23/87/280x210/crop/-/rBUESWDePsOAaaOCAAP-8nFtsyg252.jpg
2117961,https://dongqiudi.com/articles/2117961.html,图片报民调：萨内成为欧洲杯上最让球迷失望的德国队员,骆驼飞鸟鱼刺,07-02 06:14,"['德国队在欧洲杯八分之一淘汰赛0-2不敌英格兰，无缘本届欧洲杯八强。德国媒体《图片报》对本届欧洲杯德国队的表现做了调查，并总结了调查结果，其中萨内成为本届欧洲杯上最让球迷失望的德国球员。', '调查结果中，有37%的球迷认为德国队过早出局主教练勒夫应当负主要责任，27.4%的球迷认为球员们应当负责任，10.1%的球迷认为德国足协应当负责任。', '其中最让球迷们失望的德国球员是萨内（22%），之后是穆勒（17.1%）。', '47%的球迷认为德国足协领队比埃尔霍夫应当辞职，31.2%的球迷认为比埃尔霍夫没有必要辞职。', '63%的球迷认为勒夫应当在欧洲杯之前就离开。', '本届欧洲杯上球迷认为表现最好的三名德国球员分别是戈森斯（15.5%）、基米希（12.7%）以及格雷茨卡（11%）。', '75%的球迷认为弗里克是合适的德国队新帅人选。']","['德国', '拜仁慕尼黑', '亚特兰大', '勒夫', '托马斯-穆勒', '戈森斯', '格雷茨卡', '萨内', '基米希', '弗里克']",https://csimg2.qunliao.info/fastdfs6/M00/23/8A/280x210/crop/-/rBUCgGDePgaAESYVAAC5tPnZ9A4911.jpg
2117936,https://dongqiudi.com/articles/2117936.html,这不组个球队可惜了,宝星星际,07-02 04:07,['这不组个球队可惜了'],[],https://bdimg1.qunliao.info/tos-cn-i-j5hyufq5o6/fastdfs6/M00/23/89/rBUCgGDeIIeATVaMAACSekzCImo57.jpeg~tplv-j5hyufq5o6-crop:280:210.jpeg
2117930,https://dongqiudi.com/articles/2117930.html,皮克福德：我要把诺伊尔的球衣裱起来，格拉利什是球迷的宠儿,李红旗,07-02 03:47,"['英格兰门将皮克福德出席了球队与乌克兰的欧洲杯1/4决赛赛前发布会，他表示自己在英格兰与德国赛后拿到了诺伊尔的球衣，并称将会把球衣裱起来。', '赛前皮克福德就表示自己想在赛后和诺伊尔交换球衣，并在英格兰2-0击败德国一战表现出色，他说道：“我说过我会和诺伊尔换球衣，比赛结束后我拿到了他的签名球衣，这很棒。我会把那件球衣裱起来。尽管他对输球感到失望，但他还是祝我在接下来的比赛中一切顺利。”', '“当格拉利什替补登场时，我听到球迷们的欢呼，他是一个非常有才华的球员。这支英格兰队很有实力，但我认为格拉利什是球迷们的最爱。”', '皮克福德效力的埃弗顿今夏经历了换帅，对此他谈论：“安帅很难拒绝皇马的邀请，所以我们知道球队会换帅。你们都见过贝尼特斯的职业生涯和他赢得过的冠军，他对胜利充满渴望，昨晚我与他通话，他让我好好享受这届赛事，等我回去再与我见面。”']","['英格兰', '拜仁慕尼黑', '皇家马德里', '阿斯顿维拉', '埃弗顿', '诺伊尔', '格拉利什', '皮克福德', '安切洛蒂', '贝尼特斯']",https://xyimg1.qunliao.info/fastdfs6/M00/23/88/280x210/crop/-/rBUCgGDeG2GAREeIAClxGhpfJqY393.jpg
2117905,https://dongqiudi.com/articles/2117905.html,椰子：卢卡库和本泽马、凯恩、莱万一样，都是最强前锋之一,桐谷爱丽丝,07-02 02:00,"['基耶利尼在出席对阵比利时前的新闻发布会时表示，卢卡库和本泽马、凯恩、莱万一样，都是世界上最好的前锋之一。', '“我已经跟球队一起进行了训练，我很高兴能够回归。明天是否登场？这将取决于教练而不是我，过去几天里，一切都以最好的方式进行。”', '“我们来自一条成长的道路，这些年我们带着信念和自我意识一路走到了这里，我们甚至让那些对我们怀疑的人感到惊讶。”', '“如果你听到主教练在几年前对我们的发言，就会知道他是第一个相信我们的人，我们必须做我们所知道的事情。”', '“我们对阵比利时必须尽可能地少犯错，在这些比赛里细节将决定胜负。我们在其他的比赛中看到，小错误有时也会颠覆看似没有悬念的比赛，所以必须注意最小的细节。无论谁上场，都必须对复杂的对手给予很多的关注，但我们也有着自己的武器。”', '“我认为他目前的表现很棒，他踢了一个伟大的赛季，取得了很多的进步，得到了令人印象深刻的成长。卢卡库和本泽马、凯恩、莱万都是世界上最好的前锋之一，但卢卡库所度过的这个赛季是Top中的Top，明天我们必须要非常小心。”']","['意大利', '比利时', '拜仁慕尼黑', '国际米兰', '皇家马德里', '尤文图斯', '托特纳姆热刺', '本泽马', '基耶利尼', '莱万多夫斯基', '卢卡库', '哈里-凯恩']",https://csimg2.qunliao.info/fastdfs6/M00/00/9B/280x210/crop/-/rBUCgGBdFAWAX_c7AABmrqPeLeU357.jpg
2117868,https://dongqiudi.com/articles/2117868.html,达成比利时国家队50场里程碑，默尼耶晒纪念奖杯,mr1555,07-02 00:52,"['默尼耶已经代表比利时国家队出战51场，这名右后卫在社交媒体上晒出比利时队为他颁发的纪念奖杯。', '默尼耶于2013年11月14日完成比利时国家队首秀，那场比赛比利时0-2不敌哥伦比亚，默尼耶打满90分钟。', '八年间，默尼耶已经为比利时出场51次，斩获8球16助攻。默尼耶参加了2016年欧洲杯、2018年世界杯以及本届欧洲杯三届大赛，本届欧洲杯默尼耶已经贡献1球2助攻，表现很出色。此前结束的欧洲杯1/8决赛，正是默尼耶助攻他的多特队友小阿扎尔破门，比利时最终1-0击败葡萄牙。', '纪念国家队50场里程碑，默尼耶在社交媒体上写道：“从首秀到今天，我的国家队生涯都浓缩在这个小小的奖杯上。”']","['比利时', '多特蒙德', '默尼耶']",https://xyimg1.qunliao.info/fastdfs6/M00/23/81/280x210/crop/-/rBUESWDd77qAapSpAAK4vabifdc765.jpg
2117864,https://dongqiudi.com/articles/2117864.html,图片报评论：德国应该学习比利时的攻势足球，丹麦的凝聚力,mr1555,07-02 00:48,"['本届欧洲杯，德国止步16强。《图片报》撰文称，德国队应该学习众多八强队伍的优点。', '学习比利时那样的攻势足球', '我们的邻居有他们的顶级球星，比如德布劳内、阿扎尔兄弟、卢卡库以及梅尔滕斯等，这就是为什么他们踢的是令人耳目一新的攻势足球，而不是依靠防守战术。德国也有许多攻击手，但在备战时过于注重防守，而不是完全依靠自己的强项。', '像丹麦人那样团结', '丹麦是一支团结的球队，埃里克森事件使他们的关系更加紧密。是的，这次我们的团队精神也很好。但在球场上，你并不是一直感觉到每名球员都在为其他队友而战。', '需要像希克那样的顶级中锋', '捷克的阵容并非很强，但有了希克，他们有了一名顶级中锋，他几乎是单枪匹马带领捷克进入八强。德国多年来一直缺乏这样一个真正的射手，上一个世界级前锋是克洛泽。德国足协已经意识到了这个问题，并试图培养更多的正印中锋。', '缺扎卡那样真正的领袖', '扎卡在瑞士对法国的疯狂胜利中是一个真正的领袖，尽管以1-3的比分落后于世界冠军，但他从未放弃，并推动他的球队扳平了比分。0-2落后于英格兰，我们的球员垂头丧气。', '意大利的激情', '现在意大利不像过去那样拥有很多伟大的球星，但他们用激情弥补了这一点，每一次进攻，你都能看出他们是如何撕裂对方的，现在没有人比蓝衣军团更喜欢进球，多一点意大利人的激情也会对德国队有好处。']","['捷克', '丹麦', '德国', '意大利', '比利时', '瑞士', '扎卡', '希克']",https://xyimg1.qunliao.info/fastdfs6/M00/23/75/280x210/crop/-/rBUESWDdyUmAFx77ABWNn_Unx8I964.jpg
2117855,https://dongqiudi.com/articles/2117855.html,盼了两个赛季终于等到你了！期待新赛季的征程！现在...,永远的红魔007,07-02 00:34,['盼了两个赛季终于等到你了！期待新赛季的征程！现在唯一的问题就是博格巴到底走还是不走！个人认为虽然能力顶级，还是把卖了算了，没有向心力，还容易把俱乐部整的乌烟瘴气！'],"['多特蒙德', '曼联', '博格巴', '桑乔']",https://csimg2.qunliao.info/fastdfs6/M00/23/81/280x210/crop/-/rBUESWDd7n6ADhavAApluGwQwJI544.jpg
2117789,https://dongqiudi.com/articles/2117789.html,俄媒：朗尼克将出任莫斯科火车头体育主管,阿漂,07-01 23:41,"['俄罗斯媒体sportexpress消息，前德甲名帅朗尼克的下一站已经确定，他将加盟俄超俱乐部莫斯科火车头。', '朗尼克曾任红牛集团的全球体育主管，在这之前还曾担任过沙尔克、霍芬海姆和莱比锡的主教练。', '据悉，朗尼克加盟莫斯科火车头的相关事宜将在未来几天完成。今年4月，朗尼克已经前往莫斯科观看了莫斯科火车头与莫斯科斯巴达的德比战。']","['莫斯科火车头', '朗尼克']",https://csimg2.qunliao.info/fastdfs4/M00/FA/E4/280x210/crop/-/ChNLkl4ZsW6Aer3YAAGLTjYmbtQ972.jpg
2117762,https://dongqiudi.com/articles/2117762.html,（espn）运营小能手！多特蒙德在桑乔、登贝莱、...,eeeCstasy,07-01 23:32,"[""（espn）运营小能手！\n多特蒙德在桑乔、登贝莱、奥巴梅扬和普里西奇身上投入了3200万英镑，收回了3.09亿英镑。\nThat's how you run a football club.\nDortmund spent ￡32m on Sancho, Dembele, Aubameyang and Pulisic.\nThey've made ￡309m.\nESPN（来源）\nhttps://plus.espn.com/（地址）""]",['多特蒙德'],https://xyimg1.qunliao.info/fastdfs6/M00/23/7F/280x210/crop/-/rBUCgGDd392AF1QDAAaGvXKnN8E04.jpeg
